source,spearman_rho,p_value,ci_lower,ci_upper
qwen3_vl_2b_instruct,0.7843530968759533,6.3921741182751464e-68,0.7479067205593208,0.8178991495367686
qwen3_vl_4b_instruct,0.851702742569873,2.975655475121477e-91,0.8216561002342679,0.8776825838825365
qwen3_vl_8b_instruct,0.8685207488272122,5.992834880207243e-99,0.8436013298041393,0.8906330273474197
qwen3_vl_32b_instruct,0.8828393887843072,2.1662561072005795e-106,0.8602763581400437,0.9029260875221199
qwen3_vl_30b_a3b_instruct,0.877640812103766,1.397242091422752e-103,0.8539295468844166,0.8983842098992768
internvl3_1b_instruct,0.5877206569453118,4.142099802051364e-31,0.5145833445941975,0.6559118286792021
internvl3_2b_instruct,0.7818861987375946,3.139912535054296e-67,0.7307497644413907,0.8267902611532032
internvl3_8b_instruct,0.8548487963602567,1.2839043438220004e-92,0.8279470664379879,0.879403651008196
internvl3_14b_instruct,0.8666983142538129,4.5890544663788456e-98,0.8393653271605249,0.8910876323969027
internvl3_38b_instruct,0.8870288941579267,9.390381849635368e-109,0.8653569066372973,0.9066358395436771
internvl3_78b_instruct,0.8922897324758781,7.403646839392854e-112,0.8689051984627941,0.9125548304256201
plm_1b,0.5013625630356763,9.021614757183023e-22,0.4317967732391039,0.5714150544059979
plm_3b,0.7275542413885535,5.603874076975543e-54,0.6697089184979103,0.7800498131927063
plm_8b,0.763776773948591,2.0383694646939495e-62,0.7200949658420057,0.8049044668296591
llava_ov_05b,0.20512593634086004,0.00022040210573157857,0.1302851981761148,0.28257646227816074
llava_ov_7b,0.7977673858257506,7.598067286455736e-72,0.7520967835110373,0.8378539105441699
llava_ov_72b,0.8761368616613235,8.595120761350311e-103,0.8498625158704926,0.8986072628210026
glm_9b,0.8642767920426239,6.552856825525294e-97,0.8361405932933397,0.8885278979448126
gemma3_4b,0.7899180480903093,1.630307822080148e-69,0.7479412854981854,0.8266316015409717
gemma3_12b,0.8640076456280334,8.777983822418373e-97,0.8311397471515122,0.8924115575859137
gemma3_27b,0.873818982761487,1.3498579049922567e-101,0.8547206193188995,0.8914091300496035
gemma4_e2b,0.5794400035027467,4.3189234118664095e-30,0.48818681965283256,0.6643182656874186
gemma4_e4b,0.7431305750386706,1.9676937791187231e-57,0.6876548331302353,0.7923994857886896
gemma4_12b,0.8476685730562443,1.507955640000356e-89,0.823590680519612,0.8701340884719342
gemma4_26b_a4b,0.8642004932451812,7.119519570703852e-97,0.8463010095165664,0.8809559190786787
gemma4_31b,0.8784410665689033,5.262597163477637e-104,0.8638007441224255,0.8918916025856467
