source,peak_decoding_accuracy,peak_layer_index,total_layers,last_layer_decoding_accuracy
qwen3_vl_2b_instruct,0.95625,14,28,0.84375
qwen3_vl_4b_instruct,0.98125,19,36,0.8625
qwen3_vl_8b_instruct,0.9625,18,36,0.896875
qwen3_vl_32b_instruct,0.975,45,64,0.88125
qwen3_vl_30b_a3b_instruct,0.978125,29,48,0.921875
internvl3_1b_instruct,0.90625,12,24,0.7875
internvl3_2b_instruct,0.940625,16,28,0.821875
internvl3_8b_instruct,0.95625,16,28,0.828125
internvl3_14b_instruct,0.978125,27,48,0.84375
internvl3_38b_instruct,0.965625,42,64,0.809375
internvl3_78b_instruct,0.9875,53,80,0.878125
plm_1b,0.91875,7,16,0.809375
plm_3b,0.940625,10,28,0.840625
plm_8b,0.965625,14,32,0.8625
llava_ov_05b,0.884375,13,24,0.75
llava_ov_7b,0.95625,17,28,0.83125
llava_ov_72b,0.975,50,80,0.903125
glm_9b,0.978125,24,40,0.878125
gemma3_4b,0.965625,13,34,0.853125
gemma3_12b,0.9625,19,48,0.9
gemma3_27b,0.9625,25,62,0.871875
gemma4_e2b,0.90625,11,35,0.684375
gemma4_e4b,0.946875,19,42,0.765625
gemma4_12b,0.959375,28,48,0.76875
gemma4_26b_a4b,0.9625,15,30,0.728125
gemma4_31b,0.965625,33,60,0.803125
