layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.525,0.54375,0.50625
1,0.515625,0.5,0.53125
2,0.496875,0.4875,0.50625
3,0.515625,0.5,0.53125
4,0.53125,0.54375,0.51875
5,0.521875,0.46875,0.575
6,0.640625,0.65,0.63125
7,0.765625,0.70625,0.825
8,0.7625,0.7375,0.7875
9,0.778125,0.7625,0.79375
10,0.775,0.75625,0.79375
11,0.80625,0.80625,0.80625
12,0.8,0.7875,0.8125
13,0.7875,0.8,0.775
14,0.875,0.8625,0.8875
15,0.875,0.86875,0.88125
16,0.875,0.875,0.875
17,0.90625,0.90625,0.90625
18,0.925,0.91875,0.93125
19,0.921875,0.9125,0.93125
20,0.915625,0.90625,0.925
21,0.946875,0.95625,0.9375
22,0.940625,0.94375,0.9375
23,0.946875,0.94375,0.95
24,0.959375,0.95625,0.9625
25,0.9625,0.96875,0.95625
26,0.95625,0.95625,0.95625
27,0.953125,0.95625,0.95
28,0.946875,0.95625,0.9375
29,0.959375,0.95625,0.9625
30,0.95,0.95625,0.94375
31,0.953125,0.95,0.95625
32,0.95,0.95,0.95
33,0.953125,0.95,0.95625
34,0.959375,0.94375,0.975
35,0.953125,0.9375,0.96875
36,0.953125,0.9375,0.96875
37,0.95,0.9375,0.9625
38,0.946875,0.9375,0.95625
39,0.946875,0.9375,0.95625
40,0.95,0.9375,0.9625
41,0.95,0.9375,0.9625
42,0.946875,0.9375,0.95625
43,0.946875,0.93125,0.9625
44,0.95,0.95,0.95
45,0.95625,0.95,0.9625
46,0.95625,0.95,0.9625
47,0.95625,0.95,0.9625
48,0.95,0.94375,0.95625
49,0.95625,0.9625,0.95
50,0.959375,0.9625,0.95625
51,0.959375,0.9625,0.95625
52,0.95,0.9375,0.9625
53,0.946875,0.93125,0.9625
54,0.9375,0.90625,0.96875
55,0.93125,0.9,0.9625
56,0.93125,0.9,0.9625
57,0.91875,0.88125,0.95625
58,0.90625,0.875,0.9375
59,0.89375,0.85625,0.93125
60,0.89375,0.85,0.9375
61,0.871875,0.8375,0.90625
