seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0,0.515625,0.48125,0.55
0,1,0.515625,0.4875,0.54375
0,2,0.503125,0.5125,0.49375
0,3,0.478125,0.475,0.48125
0,4,0.5,0.45625,0.54375
0,5,0.484375,0.48125,0.4875
0,6,0.478125,0.475,0.48125
0,7,0.465625,0.4625,0.46875
0,8,0.49375,0.50625,0.48125
0,9,0.478125,0.475,0.48125
0,10,0.50625,0.53125,0.48125
0,11,0.465625,0.4625,0.46875
0,12,0.46875,0.51875,0.41875
0,13,0.46875,0.5125,0.425
0,14,0.471875,0.475,0.46875
0,15,0.465625,0.41875,0.5125
0,16,0.4875,0.44375,0.53125
0,17,0.478125,0.475,0.48125
0,18,0.4625,0.425,0.5
0,19,0.43125,0.4125,0.45
0,20,0.45625,0.43125,0.48125
0,21,0.440625,0.45625,0.425
0,22,0.428125,0.4125,0.44375
0,23,0.45625,0.45625,0.45625
0,24,0.459375,0.475,0.44375
0,25,0.471875,0.49375,0.45
0,26,0.4625,0.4625,0.4625
0,27,0.45625,0.4625,0.45
0,28,0.4625,0.46875,0.45625
0,29,0.45625,0.425,0.4875
0,30,0.46875,0.45625,0.48125
0,31,0.490625,0.46875,0.5125
0,32,0.5,0.48125,0.51875
0,33,0.490625,0.46875,0.5125
0,34,0.4875,0.49375,0.48125
0,35,0.478125,0.48125,0.475
0,36,0.4625,0.48125,0.44375
0,37,0.4875,0.45625,0.51875
0,38,0.471875,0.4375,0.50625
0,39,0.496875,0.49375,0.5
0,40,0.484375,0.48125,0.4875
0,41,0.471875,0.50625,0.4375
0,42,0.49375,0.5125,0.475
0,43,0.496875,0.51875,0.475
0,44,0.503125,0.5125,0.49375
0,45,0.490625,0.475,0.50625
0,46,0.496875,0.48125,0.5125
0,47,0.5125,0.5,0.525
0,48,0.4875,0.45625,0.51875
0,49,0.5125,0.5,0.525
0,50,0.5125,0.50625,0.51875
0,51,0.50625,0.5,0.5125
0,52,0.53125,0.5125,0.55
0,53,0.5375,0.525,0.55
0,54,0.51875,0.525,0.5125
0,55,0.521875,0.50625,0.5375
0,56,0.5125,0.4875,0.5375
0,57,0.528125,0.525,0.53125
0,58,0.521875,0.51875,0.525
0,59,0.503125,0.5,0.50625
0,60,0.5,0.53125,0.46875
0,61,0.5125,0.5125,0.5125
1,0,0.50625,0.5,0.5125
1,1,0.5,0.4875,0.5125
1,2,0.503125,0.5375,0.46875
1,3,0.496875,0.5125,0.48125
1,4,0.49375,0.5,0.4875
1,5,0.503125,0.50625,0.5
1,6,0.521875,0.4875,0.55625
1,7,0.525,0.54375,0.50625
1,8,0.521875,0.5625,0.48125
1,9,0.540625,0.55625,0.525
1,10,0.509375,0.51875,0.5
1,11,0.490625,0.50625,0.475
1,12,0.49375,0.51875,0.46875
1,13,0.503125,0.54375,0.4625
1,14,0.49375,0.51875,0.46875
1,15,0.49375,0.5125,0.475
1,16,0.503125,0.5,0.50625
1,17,0.525,0.54375,0.50625
1,18,0.490625,0.4875,0.49375
1,19,0.5,0.51875,0.48125
1,20,0.49375,0.4875,0.5
1,21,0.48125,0.5,0.4625
1,22,0.490625,0.4875,0.49375
1,23,0.4625,0.4625,0.4625
1,24,0.478125,0.475,0.48125
1,25,0.5,0.475,0.525
1,26,0.496875,0.5125,0.48125
1,27,0.4875,0.5125,0.4625
1,28,0.496875,0.51875,0.475
1,29,0.48125,0.55,0.4125
1,30,0.5,0.5125,0.4875
1,31,0.509375,0.48125,0.5375
1,32,0.496875,0.50625,0.4875
1,33,0.50625,0.525,0.4875
1,34,0.5,0.53125,0.46875
1,35,0.50625,0.5375,0.475
1,36,0.5,0.53125,0.46875
1,37,0.5125,0.54375,0.48125
1,38,0.51875,0.54375,0.49375
1,39,0.478125,0.5,0.45625
1,40,0.484375,0.54375,0.425
1,41,0.490625,0.53125,0.45
1,42,0.509375,0.5125,0.50625
1,43,0.5,0.5375,0.4625
1,44,0.478125,0.49375,0.4625
1,45,0.49375,0.51875,0.46875
1,46,0.484375,0.5125,0.45625
1,47,0.496875,0.525,0.46875
1,48,0.49375,0.51875,0.46875
1,49,0.503125,0.5625,0.44375
1,50,0.484375,0.5375,0.43125
1,51,0.475,0.5375,0.4125
1,52,0.478125,0.51875,0.4375
1,53,0.475,0.51875,0.43125
1,54,0.465625,0.50625,0.425
1,55,0.475,0.50625,0.44375
1,56,0.465625,0.5125,0.41875
1,57,0.4625,0.5,0.425
1,58,0.46875,0.50625,0.43125
1,59,0.453125,0.48125,0.425
1,60,0.46875,0.5125,0.425
1,61,0.4625,0.475,0.45
2,0,0.4875,0.475,0.5
2,1,0.5125,0.4875,0.5375
2,2,0.509375,0.49375,0.525
2,3,0.50625,0.48125,0.53125
2,4,0.5,0.4625,0.5375
2,5,0.50625,0.525,0.4875
2,6,0.4875,0.45625,0.51875
2,7,0.48125,0.4625,0.5
2,8,0.475,0.49375,0.45625
2,9,0.48125,0.44375,0.51875
2,10,0.484375,0.4875,0.48125
2,11,0.509375,0.5,0.51875
2,12,0.484375,0.49375,0.475
2,13,0.475,0.48125,0.46875
2,14,0.5,0.51875,0.48125
2,15,0.46875,0.45625,0.48125
2,16,0.48125,0.5,0.4625
2,17,0.48125,0.46875,0.49375
2,18,0.471875,0.45625,0.4875
2,19,0.525,0.49375,0.55625
2,20,0.49375,0.475,0.5125
2,21,0.525,0.5375,0.5125
2,22,0.5,0.54375,0.45625
2,23,0.503125,0.54375,0.4625
2,24,0.490625,0.51875,0.4625
2,25,0.5125,0.53125,0.49375
2,26,0.51875,0.5625,0.475
2,27,0.465625,0.46875,0.4625
2,28,0.490625,0.525,0.45625
2,29,0.465625,0.50625,0.425
2,30,0.490625,0.525,0.45625
2,31,0.49375,0.50625,0.48125
2,32,0.5125,0.5375,0.4875
2,33,0.4875,0.5,0.475
2,34,0.503125,0.5125,0.49375
2,35,0.50625,0.51875,0.49375
2,36,0.503125,0.525,0.48125
2,37,0.5,0.53125,0.46875
2,38,0.490625,0.5375,0.44375
2,39,0.475,0.50625,0.44375
2,40,0.49375,0.5375,0.45
2,41,0.496875,0.525,0.46875
2,42,0.509375,0.51875,0.5
2,43,0.528125,0.51875,0.5375
2,44,0.490625,0.50625,0.475
2,45,0.515625,0.54375,0.4875
2,46,0.50625,0.5375,0.475
2,47,0.51875,0.53125,0.50625
2,48,0.515625,0.525,0.50625
2,49,0.5125,0.54375,0.48125
2,50,0.5,0.53125,0.46875
2,51,0.50625,0.51875,0.49375
2,52,0.48125,0.5,0.4625
2,53,0.496875,0.51875,0.475
2,54,0.490625,0.51875,0.4625
2,55,0.475,0.4875,0.4625
2,56,0.484375,0.5,0.46875
2,57,0.490625,0.4875,0.49375
2,58,0.496875,0.50625,0.4875
2,59,0.484375,0.475,0.49375
2,60,0.484375,0.46875,0.5
2,61,0.478125,0.4625,0.49375
