layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,1.0752368988405792,0.052955234097202694,1.1700121394848316e-91,1.2431378982026335e-91,True
1,1.0945240102666245,0.057090947295940574,6.392965091688425e-82,6.392965091688425e-82,True
2,1.187497488124944,0.05476378069313166,2.9054026285131594e-104,3.1865706248208844e-104,True
3,1.1544988106380532,0.060042571277622275,2.1577363430592104e-82,2.2231222928488836e-82,True
4,1.1980702832368246,0.05291791392408802,1.7439102144231754e-113,1.9764315763462655e-113,True
5,1.2316936781572982,0.05077049218001363,5.182117710810208e-130,6.075586281639554e-130,True
6,1.3234747829559401,0.04091800088060579,1.6544628870527533e-229,2.0089906485640577e-229,True
7,1.3177220444349307,0.0366413830307178,3.2079857769724287e-283,4.1950583237331763e-283,True
8,1.3276513556347156,0.035326976774952605,4.26290787752798e-309,6.039119493164636e-309,True
9,1.3455793138063301,0.03286415615980176,0.0,0.0,True
10,1.3347084201781918,0.03318283077539146,0.0,0.0,True
11,1.3309914397480989,0.03392835187630495,0.0,0.0,True
12,1.340576251767347,0.031476407414861456,0.0,0.0,True
13,1.3385879600820974,0.03128224225076236,0.0,0.0,True
14,1.3437484418520704,0.029642479797625264,0.0,0.0,True
15,1.33824090087922,0.030516208566337234,0.0,0.0,True
16,1.3393968318557785,0.029711621638766204,0.0,0.0,True
17,1.3407019154216324,0.030981033645044027,0.0,0.0,True
18,1.3365448033318166,0.03099209505420965,0.0,0.0,True
19,1.3337164745084529,0.03112638477350245,0.0,0.0,True
20,1.3361404427456964,0.02983167019821494,0.0,0.0,True
21,1.335232873554271,0.030357330688797535,0.0,0.0,True
22,1.3265465416078934,0.031189972835019876,0.0,0.0,True
23,1.3287282639318923,0.031377068302355156,0.0,0.0,True
24,1.3294890981988774,0.030772055197514508,0.0,0.0,True
25,1.3272289025072288,0.03241495018742407,0.0,0.0,True
26,1.3277600714424833,0.03020434483953097,0.0,0.0,True
27,1.3195854806546812,0.030827166520474587,0.0,0.0,True
28,1.321954615936467,0.03187408432976107,0.0,0.0,True
29,1.3160379132392968,0.032207126332276535,0.0,0.0,True
30,1.3153176497659806,0.03305959362115659,0.0,0.0,True
31,1.3127937543074122,0.03384776826638806,0.0,0.0,True
32,1.3016805039802204,0.036053289683789756,1.9383212211657504e-285,2.6361168607854204e-285,True
33,1.318711488475596,0.03681591143209063,5.577206559154768e-281,7.023149000417116e-281,True
