layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.6770247960759033,0.11003187270521782,7.603654462339254e-10,7.603654462339254e-10,True
1,0.8795948425220387,0.0963480713269591,6.891458357429319e-20,7.129094852513088e-20,True
2,1.1549711572573078,0.062382244576002666,1.5798525867890075e-76,1.6926992001310793e-76,True
3,1.1898583712819142,0.0517056470173579,3.522320898473601e-117,4.226785078168321e-117,True
4,1.1794940341852764,0.05620807920584905,9.102355659103768e-98,1.0502718068196655e-97,True
5,1.3084119311144957,0.0408790191161284,8.733118855686663e-225,1.1908798439572722e-224,True
6,1.3131177634782876,0.041925379785041995,2.465540601267236e-215,3.2159225233920467e-215,True
7,1.3101203460558764,0.037045380812672016,5.838089371641086e-274,8.340127673772981e-274,True
8,1.3448924592676113,0.03315902648857095,0.0,0.0,True
9,1.3504682238281136,0.03161612002992963,0.0,0.0,True
10,1.3548717532308256,0.03489971843118602,0.0,0.0,True
11,1.3481527871599979,0.031866928965026305,0.0,0.0,True
12,1.346478904137888,0.030246129786545818,0.0,0.0,True
13,1.3505679973705902,0.028826186565829588,0.0,0.0,True
14,1.3539487593390098,0.0294765925535331,0.0,0.0,True
15,1.3594151947727164,0.02860552334102533,0.0,0.0,True
16,1.3631037660646435,0.027548872107219236,0.0,0.0,True
17,1.3630966131331754,0.02747860349912359,0.0,0.0,True
18,1.361910407985321,0.027147068844855942,0.0,0.0,True
19,1.3647843582203123,0.0271695989809035,0.0,0.0,True
20,1.3691891757792756,0.02779105282099009,0.0,0.0,True
21,1.3700116745418995,0.02803380405785792,0.0,0.0,True
22,1.3658678434602278,0.02901897483534566,0.0,0.0,True
23,1.3673450331747423,0.030955898638859468,0.0,0.0,True
24,1.3732443894763366,0.03437957291404944,0.0,0.0,True
25,1.3630440072806684,0.03645734645790193,6.270047588586352e-306,9.405071382879528e-306,True
26,1.3610281482040938,0.035826953273440376,0.0,0.0,True
27,1.3653275757539003,0.03451093944957371,0.0,0.0,True
28,1.3727726058825374,0.04640998463557972,2.7628841802387263e-192,3.4536052252984076e-192,True
29,1.297281054722578,0.06312540981603151,7.562179359713723e-94,8.402421510793025e-94,True
