layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.609375,0.6375,0.58125
1,0.621875,0.64375,0.6
2,0.775,0.775,0.775
3,0.8,0.8125,0.7875
4,0.796875,0.80625,0.7875
5,0.884375,0.85,0.91875
6,0.875,0.86875,0.88125
7,0.909375,0.90625,0.9125
8,0.909375,0.8875,0.93125
9,0.921875,0.9,0.94375
10,0.91875,0.89375,0.94375
11,0.9375,0.94375,0.93125
12,0.953125,0.95,0.95625
13,0.95625,0.9625,0.95
14,0.959375,0.96875,0.95
15,0.9625,0.9625,0.9625
16,0.959375,0.95625,0.9625
17,0.959375,0.95625,0.9625
18,0.946875,0.93125,0.9625
19,0.95,0.9375,0.9625
20,0.94375,0.91875,0.96875
21,0.934375,0.90625,0.9625
22,0.928125,0.9,0.95625
23,0.896875,0.8625,0.93125
24,0.890625,0.8375,0.94375
25,0.875,0.8375,0.9125
26,0.85,0.80625,0.89375
27,0.846875,0.8,0.89375
28,0.828125,0.7875,0.86875
29,0.728125,0.6875,0.76875
