layer_index,all_accuracy,threshold_95,maxstat_p,exceeds_95th_percentile
0,0.609375,0.584375,0.007992007992007992,True
1,0.621875,0.584375,0.004995004995004995,True
2,0.775,0.584375,0.000999000999000999,True
3,0.8,0.584375,0.000999000999000999,True
4,0.796875,0.584375,0.000999000999000999,True
5,0.884375,0.584375,0.000999000999000999,True
6,0.875,0.584375,0.000999000999000999,True
7,0.909375,0.584375,0.000999000999000999,True
8,0.909375,0.584375,0.000999000999000999,True
9,0.921875,0.584375,0.000999000999000999,True
10,0.91875,0.584375,0.000999000999000999,True
11,0.9375,0.584375,0.000999000999000999,True
12,0.953125,0.584375,0.000999000999000999,True
13,0.95625,0.584375,0.000999000999000999,True
14,0.959375,0.584375,0.000999000999000999,True
15,0.9625,0.584375,0.000999000999000999,True
16,0.959375,0.584375,0.000999000999000999,True
17,0.959375,0.584375,0.000999000999000999,True
18,0.946875,0.584375,0.000999000999000999,True
19,0.95,0.584375,0.000999000999000999,True
20,0.94375,0.584375,0.000999000999000999,True
21,0.934375,0.584375,0.000999000999000999,True
22,0.928125,0.584375,0.000999000999000999,True
23,0.896875,0.584375,0.000999000999000999,True
24,0.890625,0.584375,0.000999000999000999,True
25,0.875,0.584375,0.000999000999000999,True
26,0.85,0.584375,0.000999000999000999,True
27,0.846875,0.584375,0.000999000999000999,True
28,0.828125,0.584375,0.000999000999000999,True
29,0.728125,0.584375,0.000999000999000999,True
