layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.559375,0.55625,0.5625
1,0.696875,0.66875,0.725
2,0.690625,0.6625,0.71875
3,0.678125,0.63125,0.725
4,0.734375,0.7125,0.75625
5,0.728125,0.71875,0.7375
6,0.759375,0.75625,0.7625
7,0.79375,0.79375,0.79375
8,0.803125,0.80625,0.8
9,0.88125,0.875,0.8875
10,0.859375,0.8875,0.83125
11,0.90625,0.93125,0.88125
12,0.890625,0.89375,0.8875
13,0.875,0.86875,0.88125
14,0.821875,0.8125,0.83125
15,0.803125,0.80625,0.8
16,0.8125,0.775,0.85
17,0.8,0.78125,0.81875
18,0.775,0.7625,0.7875
19,0.765625,0.73125,0.8
20,0.76875,0.7375,0.8
21,0.8,0.7875,0.8125
22,0.775,0.7625,0.7875
23,0.753125,0.76875,0.7375
24,0.725,0.7125,0.7375
25,0.703125,0.70625,0.7
26,0.728125,0.7125,0.74375
27,0.709375,0.69375,0.725
28,0.7,0.69375,0.70625
29,0.7125,0.7,0.725
30,0.7125,0.69375,0.73125
31,0.690625,0.6625,0.71875
32,0.696875,0.65,0.74375
33,0.7125,0.6875,0.7375
34,0.684375,0.6625,0.70625
