layer_index,all_accuracy,threshold_95,maxstat_p,exceeds_95th_percentile
0,0.559375,0.575,0.15684315684315683,False
1,0.696875,0.575,0.000999000999000999,True
2,0.690625,0.575,0.000999000999000999,True
3,0.678125,0.575,0.000999000999000999,True
4,0.734375,0.575,0.000999000999000999,True
5,0.728125,0.575,0.000999000999000999,True
6,0.759375,0.575,0.000999000999000999,True
7,0.79375,0.575,0.000999000999000999,True
8,0.803125,0.575,0.000999000999000999,True
9,0.88125,0.575,0.000999000999000999,True
10,0.859375,0.575,0.000999000999000999,True
11,0.90625,0.575,0.000999000999000999,True
12,0.890625,0.575,0.000999000999000999,True
13,0.875,0.575,0.000999000999000999,True
14,0.821875,0.575,0.000999000999000999,True
15,0.803125,0.575,0.000999000999000999,True
16,0.8125,0.575,0.000999000999000999,True
17,0.8,0.575,0.000999000999000999,True
18,0.775,0.575,0.000999000999000999,True
19,0.765625,0.575,0.000999000999000999,True
20,0.76875,0.575,0.000999000999000999,True
21,0.8,0.575,0.000999000999000999,True
22,0.775,0.575,0.000999000999000999,True
23,0.753125,0.575,0.000999000999000999,True
24,0.725,0.575,0.000999000999000999,True
25,0.703125,0.575,0.000999000999000999,True
26,0.728125,0.575,0.000999000999000999,True
27,0.709375,0.575,0.000999000999000999,True
28,0.7,0.575,0.000999000999000999,True
29,0.7125,0.575,0.000999000999000999,True
30,0.7125,0.575,0.000999000999000999,True
31,0.690625,0.575,0.000999000999000999,True
32,0.696875,0.575,0.000999000999000999,True
33,0.7125,0.575,0.000999000999000999,True
34,0.684375,0.575,0.000999000999000999,True
