seed,max_accuracy
0,0.53125
1,0.553125
2,0.55625
3,0.5375
4,0.51875
5,0.528125
6,0.546875
7,0.5125
8,0.56875
9,0.578125
10,0.528125
11,0.553125
12,0.5625
13,0.534375
14,0.53125
15,0.56875
16,0.540625
17,0.546875
18,0.546875
19,0.553125
20,0.596875
21,0.540625
22,0.51875
23,0.55
24,0.5375
25,0.534375
26,0.559375
27,0.53125
28,0.546875
29,0.54375
30,0.51875
31,0.5625
32,0.55
33,0.54375
34,0.540625
35,0.565625
36,0.521875
37,0.515625
38,0.559375
39,0.515625
40,0.521875
41,0.55625
42,0.525
43,0.5375
44,0.546875
45,0.5875
46,0.546875
47,0.53125
48,0.534375
49,0.528125
50,0.503125
51,0.540625
52,0.53125
53,0.528125
54,0.559375
55,0.521875
56,0.559375
57,0.53125
58,0.5375
59,0.50625
60,0.521875
61,0.53125
62,0.54375
63,0.540625
64,0.565625
65,0.5
66,0.534375
67,0.540625
68,0.56875
69,0.59375
70,0.5375
71,0.525
72,0.534375
73,0.546875
74,0.56875
75,0.553125
76,0.55625
77,0.53125
78,0.565625
79,0.53125
80,0.509375
81,0.521875
82,0.525
83,0.515625
84,0.521875
85,0.559375
86,0.515625
87,0.528125
88,0.5125
89,0.553125
90,0.528125
91,0.578125
92,0.53125
93,0.5625
94,0.540625
95,0.515625
96,0.534375
97,0.528125
98,0.534375
99,0.5375
100,0.590625
101,0.553125
102,0.53125
103,0.553125
104,0.496875
105,0.5625
106,0.53125
107,0.59375
108,0.54375
109,0.55
110,0.5375
111,0.51875
112,0.540625
113,0.528125
114,0.5625
115,0.540625
116,0.521875
117,0.534375
118,0.54375
119,0.546875
120,0.53125
121,0.534375
122,0.534375
123,0.5
124,0.54375
125,0.5375
126,0.528125
127,0.528125
128,0.521875
129,0.546875
130,0.540625
131,0.55
132,0.559375
133,0.54375
134,0.525
135,0.528125
136,0.5375
137,0.503125
138,0.565625
139,0.54375
140,0.553125
141,0.515625
142,0.54375
143,0.521875
144,0.521875
145,0.525
146,0.571875
147,0.55
148,0.540625
149,0.5375
150,0.525
151,0.5375
152,0.553125
153,0.534375
154,0.546875
155,0.546875
156,0.546875
157,0.546875
158,0.53125
159,0.540625
160,0.534375
161,0.5375
162,0.53125
163,0.565625
164,0.528125
165,0.5375
166,0.525
167,0.525
168,0.5125
169,0.50625
170,0.5125
171,0.525
172,0.5375
173,0.534375
174,0.521875
175,0.528125
176,0.534375
177,0.515625
178,0.553125
179,0.525
180,0.540625
181,0.528125
182,0.540625
183,0.559375
184,0.55
185,0.5375
186,0.540625
187,0.51875
188,0.540625
189,0.55
190,0.546875
191,0.546875
192,0.540625
193,0.525
194,0.553125
195,0.51875
196,0.553125
197,0.55625
198,0.528125
199,0.5625
200,0.575
201,0.5375
202,0.53125
203,0.565625
204,0.534375
205,0.534375
206,0.5875
207,0.546875
208,0.559375
209,0.565625
210,0.51875
211,0.571875
212,0.525
213,0.553125
214,0.55
215,0.525
216,0.559375
217,0.53125
218,0.540625
219,0.55
220,0.521875
221,0.509375
222,0.5625
223,0.534375
224,0.553125
225,0.521875
226,0.54375
227,0.53125
228,0.5375
229,0.565625
230,0.546875
231,0.5125
232,0.55625
233,0.521875
234,0.509375
235,0.509375
236,0.50625
237,0.53125
238,0.546875
239,0.51875
240,0.51875
241,0.5625
242,0.5375
243,0.53125
244,0.55
245,0.528125
246,0.546875
247,0.540625
248,0.525
249,0.528125
250,0.56875
251,0.509375
252,0.54375
253,0.58125
254,0.525
255,0.58125
256,0.515625
257,0.553125
258,0.528125
259,0.5625
260,0.5625
261,0.55625
262,0.525
263,0.565625
264,0.559375
265,0.55625
266,0.53125
267,0.534375
268,0.59375
269,0.55
270,0.540625
271,0.521875
272,0.54375
273,0.5875
274,0.575
275,0.54375
276,0.5125
277,0.534375
278,0.540625
279,0.534375
280,0.534375
281,0.5125
282,0.503125
283,0.53125
284,0.534375
285,0.55
286,0.546875
287,0.53125
288,0.525
289,0.565625
290,0.55
291,0.51875
292,0.509375
293,0.55625
294,0.51875
295,0.5375
296,0.58125
297,0.525
298,0.528125
299,0.55625
300,0.571875
301,0.5125
302,0.5625
303,0.553125
304,0.5625
305,0.540625
306,0.55
307,0.55625
308,0.525
309,0.528125
310,0.525
311,0.575
312,0.528125
313,0.528125
314,0.528125
315,0.59375
316,0.528125
317,0.56875
318,0.528125
319,0.565625
320,0.53125
321,0.54375
322,0.528125
323,0.521875
324,0.534375
325,0.534375
326,0.528125
327,0.515625
328,0.546875
329,0.5375
330,0.525
331,0.528125
332,0.521875
333,0.540625
334,0.528125
335,0.584375
336,0.54375
337,0.521875
338,0.51875
339,0.51875
340,0.571875
341,0.534375
342,0.53125
343,0.565625
344,0.5625
345,0.553125
346,0.5375
347,0.528125
348,0.521875
349,0.55
350,0.528125
351,0.54375
352,0.521875
353,0.5625
354,0.55625
355,0.509375
356,0.546875
357,0.5125
358,0.6
359,0.525
360,0.528125
361,0.559375
362,0.528125
363,0.534375
364,0.51875
365,0.50625
366,0.553125
367,0.559375
368,0.575
369,0.559375
370,0.553125
371,0.534375
372,0.534375
373,0.540625
374,0.53125
375,0.51875
376,0.55625
377,0.5375
378,0.53125
379,0.54375
380,0.528125
381,0.55625
382,0.55
383,0.51875
384,0.546875
385,0.525
386,0.521875
387,0.5375
388,0.55625
389,0.5375
390,0.53125
391,0.534375
392,0.546875
393,0.578125
394,0.540625
395,0.53125
396,0.546875
397,0.5375
398,0.50625
399,0.521875
400,0.584375
401,0.53125
402,0.528125
403,0.5375
404,0.534375
405,0.528125
406,0.5375
407,0.571875
408,0.51875
409,0.56875
410,0.51875
411,0.51875
412,0.55
413,0.534375
414,0.515625
415,0.525
416,0.553125
417,0.525
418,0.521875
419,0.51875
420,0.53125
421,0.540625
422,0.553125
423,0.55625
424,0.528125
425,0.553125
426,0.55
427,0.53125
428,0.525
429,0.525
430,0.53125
431,0.54375
432,0.53125
433,0.546875
434,0.546875
435,0.54375
436,0.5625
437,0.5625
438,0.528125
439,0.528125
440,0.540625
441,0.5125
442,0.51875
443,0.525
444,0.5125
445,0.54375
446,0.5375
447,0.54375
448,0.51875
449,0.571875
450,0.528125
451,0.528125
452,0.55625
453,0.596875
454,0.509375
455,0.534375
456,0.521875
457,0.540625
458,0.521875
459,0.546875
460,0.590625
461,0.575
