seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0,0.49375,0.46875,0.51875
0,1,0.5,0.4375,0.5625
0,2,0.50625,0.4875,0.525
0,3,0.496875,0.48125,0.5125
0,4,0.475,0.48125,0.46875
0,5,0.503125,0.49375,0.5125
0,6,0.48125,0.53125,0.43125
0,7,0.5,0.50625,0.49375
0,8,0.4875,0.48125,0.49375
0,9,0.46875,0.45,0.4875
0,10,0.4875,0.46875,0.50625
0,11,0.45625,0.5,0.4125
0,12,0.471875,0.48125,0.4625
0,13,0.49375,0.49375,0.49375
0,14,0.48125,0.50625,0.45625
0,15,0.465625,0.46875,0.4625
0,16,0.4625,0.48125,0.44375
0,17,0.490625,0.45,0.53125
0,18,0.4625,0.4375,0.4875
0,19,0.496875,0.48125,0.5125
0,20,0.521875,0.53125,0.5125
0,21,0.49375,0.5375,0.45
0,22,0.5,0.50625,0.49375
0,23,0.50625,0.525,0.4875
0,24,0.46875,0.4625,0.475
0,25,0.5,0.48125,0.51875
0,26,0.509375,0.475,0.54375
0,27,0.490625,0.4625,0.51875
0,28,0.51875,0.51875,0.51875
0,29,0.53125,0.53125,0.53125
0,30,0.528125,0.54375,0.5125
0,31,0.50625,0.51875,0.49375
0,32,0.528125,0.5375,0.51875
0,33,0.475,0.45625,0.49375
0,34,0.490625,0.49375,0.4875
1,0,0.515625,0.50625,0.525
1,1,0.521875,0.45,0.59375
1,2,0.53125,0.5125,0.55
1,3,0.553125,0.54375,0.5625
1,4,0.509375,0.5,0.51875
1,5,0.5,0.49375,0.50625
1,6,0.48125,0.475,0.4875
1,7,0.5,0.475,0.525
1,8,0.521875,0.5375,0.50625
1,9,0.50625,0.5,0.5125
1,10,0.490625,0.46875,0.5125
1,11,0.490625,0.5125,0.46875
1,12,0.49375,0.50625,0.48125
1,13,0.4625,0.46875,0.45625
1,14,0.509375,0.4875,0.53125
1,15,0.5125,0.49375,0.53125
1,16,0.503125,0.48125,0.525
1,17,0.5375,0.5125,0.5625
1,18,0.5375,0.475,0.6
1,19,0.525,0.4875,0.5625
1,20,0.53125,0.51875,0.54375
1,21,0.50625,0.475,0.5375
1,22,0.5,0.5,0.5
1,23,0.490625,0.45,0.53125
1,24,0.48125,0.4625,0.5
1,25,0.53125,0.5125,0.55
1,26,0.525,0.49375,0.55625
1,27,0.49375,0.475,0.5125
1,28,0.521875,0.49375,0.55
1,29,0.5125,0.48125,0.54375
1,30,0.5,0.46875,0.53125
1,31,0.50625,0.46875,0.54375
1,32,0.51875,0.4875,0.55
1,33,0.5125,0.48125,0.54375
1,34,0.5,0.49375,0.50625
2,0,0.503125,0.53125,0.475
2,1,0.5,0.5125,0.4875
2,2,0.5,0.45625,0.54375
2,3,0.4875,0.44375,0.53125
2,4,0.484375,0.48125,0.4875
2,5,0.50625,0.49375,0.51875
2,6,0.484375,0.45625,0.5125
2,7,0.490625,0.44375,0.5375
2,8,0.4875,0.49375,0.48125
2,9,0.509375,0.525,0.49375
2,10,0.496875,0.48125,0.5125
2,11,0.5125,0.5,0.525
2,12,0.5,0.49375,0.50625
