layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.5735172902191055,0.1094908040249108,1.6229025829899531e-07,1.6229025829899531e-07,True
1,0.8492861405937836,0.11697684857931936,3.862540508240417e-13,3.9567488133194516e-13,True
2,0.9537979162927885,0.09461189099653335,6.692902605658581e-24,7.397418669412116e-24,True
3,1.0114462395631119,0.10182012740323221,2.9715251744672546e-23,3.2001040340416585e-23,True
4,0.9184657421326612,0.11958524654918729,1.585593289830263e-14,1.664872954321776e-14,True
5,1.0740602233010255,0.06992170334976522,2.993939743121062e-53,3.3985261948941784e-53,True
6,1.150181883505927,0.06893743879495506,1.7012151871679164e-62,1.9847510516959024e-62,True
7,1.1969781198677605,0.05265444830020583,2.1280498930075567e-114,2.6287675148916876e-114,True
8,1.1910755283449705,0.050532171270351506,7.712851253867315e-123,1.0123117270700852e-122,True
9,1.230960936882056,0.04620607863022613,2.2955342507975312e-156,3.8564975413398524e-156,True
10,1.2541427738872788,0.050274338390501015,2.360863752223657e-137,3.419181985979089e-137,True
11,1.2231800124056997,0.05287209123951699,2.0727271784252286e-118,2.6380164089048365e-118,True
12,1.207093396314986,0.05389792547611601,4.313592468959856e-111,5.176310962751827e-111,True
13,1.2325024925664847,0.052158342794243945,1.8946577249034048e-123,2.566955627288484e-123,True
14,1.320824863374004,0.04183344969567994,8.557123766320887e-219,2.2462449886592329e-218,True
15,1.3224677158909142,0.04011598437877584,2.4869425673854803e-238,6.963439188679344e-238,True
16,1.3099164771380605,0.038059116213472514,1.3592607781655874e-259,4.0777823344967624e-259,True
17,1.3341037528355248,0.032307083659600604,0.0,0.0,True
18,1.3297505672214909,0.033975594930527646,0.0,0.0,True
19,1.328446588232976,0.03238609116431294,0.0,0.0,True
20,1.325885486401033,0.03432588464011293,0.0,0.0,True
21,1.3209314373597996,0.03395329580163638,0.0,0.0,True
22,1.3144617953034858,0.03573583903987687,3.4866380885399813e-296,2.091982853123989e-295,True
23,1.3023828551382444,0.03560873747449712,7.193103541472973e-293,3.776379359273311e-292,True
24,1.3236948841137153,0.03701525810777926,4.496681896983821e-280,1.8886063967332053e-279,True
25,1.3321171361252961,0.036607062082854414,6.212535523836378e-290,2.899183244456977e-289,True
26,1.3433036783054215,0.03523853012586162,0.0,0.0,True
27,1.334225361701735,0.03795553886067737,1.0711997018876108e-270,3.4607990368676654e-270,True
28,1.3434987793725541,0.03796564506938645,2.6847070733226284e-274,1.025069973450458e-273,True
29,1.3453419213535658,0.03827050642469804,1.0280571708255247e-270,3.4607990368676654e-270,True
30,1.3481922053837807,0.0429347554058802,1.9637129559796853e-216,4.851526126538046e-216,True
31,1.3246850911245054,0.04296085969006263,8.984798931825643e-209,2.09645308409265e-208,True
32,1.3268373936589555,0.04604475839244011,1.3422473218609518e-182,2.9670730272715776e-182,True
33,1.3369484646277359,0.04677420806235439,1.0921879000024332e-179,2.29359459000511e-179,True
34,1.3370956821397095,0.04986825991324017,2.3064865541188984e-158,4.036351469708073e-158,True
35,1.3370422436085247,0.049403920423223356,2.6505335922867365e-161,5.301067184573473e-161,True
36,1.3384083600089616,0.05117858178248148,9.419121649132611e-151,1.4651967009761838e-150,True
37,1.3360480091053206,0.050953086988943345,1.525710958843307e-151,2.4646100104391883e-151,True
38,1.3346430576093207,0.05125585607692789,1.7998857780430562e-149,2.6998286670645844e-149,True
39,1.32479297391671,0.05357078492570331,5.1186853981689634e-135,7.166159557436549e-135,True
40,1.3438331791616727,0.04973377658715615,8.481011331522558e-161,1.61910216329067e-160,True
41,1.2962732107138568,0.04812735817158795,8.729850386923508e-160,1.5941465923947273e-159,True
