layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.634375,0.675,0.59375
1,0.7625,0.7125,0.8125
2,0.765625,0.71875,0.8125
3,0.796875,0.80625,0.7875
4,0.803125,0.8125,0.79375
5,0.821875,0.825,0.81875
6,0.853125,0.8625,0.84375
7,0.8625,0.86875,0.85625
8,0.853125,0.85625,0.85
9,0.925,0.925,0.925
10,0.9125,0.9125,0.9125
11,0.93125,0.9375,0.925
12,0.91875,0.925,0.9125
13,0.9125,0.925,0.9
14,0.925,0.9375,0.9125
15,0.9375,0.94375,0.93125
16,0.934375,0.95,0.91875
17,0.965625,0.96875,0.9625
18,0.96875,0.975,0.9625
19,0.975,0.975,0.975
20,0.975,0.975,0.975
21,0.96875,0.96875,0.96875
22,0.975,0.96875,0.98125
23,0.96875,0.9625,0.975
24,0.978125,0.975,0.98125
25,0.971875,0.9625,0.98125
26,0.965625,0.9625,0.96875
27,0.9625,0.9625,0.9625
28,0.94375,0.95625,0.93125
29,0.9375,0.95,0.925
30,0.934375,0.9375,0.93125
31,0.940625,0.9375,0.94375
32,0.940625,0.93125,0.95
33,0.93125,0.94375,0.91875
34,0.925,0.94375,0.90625
35,0.9125,0.9375,0.8875
36,0.909375,0.91875,0.9
37,0.89375,0.91875,0.86875
38,0.896875,0.9125,0.88125
39,0.878125,0.9,0.85625
