seed,max_accuracy
0,0.496875
1,0.528125
2,0.559375
3,0.559375
4,0.525
5,0.53125
6,0.546875
7,0.55625
8,0.61875
9,0.578125
10,0.546875
11,0.540625
12,0.55
13,0.5375
14,0.528125
15,0.575
16,0.553125
17,0.55625
18,0.55625
19,0.540625
20,0.59375
21,0.51875
22,0.546875
23,0.55
24,0.540625
25,0.53125
26,0.53125
27,0.56875
28,0.571875
29,0.56875
30,0.509375
31,0.565625
32,0.525
33,0.528125
34,0.5375
35,0.578125
36,0.5375
37,0.5625
38,0.590625
39,0.521875
40,0.553125
41,0.55625
42,0.525
43,0.55
44,0.5625
45,0.584375
46,0.540625
47,0.53125
48,0.50625
49,0.534375
50,0.515625
51,0.5625
52,0.559375
53,0.559375
54,0.58125
55,0.53125
56,0.534375
57,0.50625
58,0.559375
59,0.525
60,0.5125
61,0.54375
62,0.534375
63,0.553125
64,0.5375
65,0.503125
66,0.521875
67,0.565625
68,0.584375
69,0.634375
70,0.53125
71,0.534375
72,0.540625
73,0.55625
74,0.56875
75,0.553125
76,0.565625
77,0.515625
78,0.55625
79,0.515625
80,0.50625
81,0.515625
82,0.51875
83,0.509375
84,0.515625
85,0.575
86,0.51875
87,0.565625
88,0.50625
89,0.553125
90,0.56875
91,0.5625
92,0.50625
93,0.553125
94,0.55625
95,0.50625
96,0.534375
97,0.515625
98,0.53125
99,0.54375
100,0.56875
101,0.534375
102,0.5125
103,0.56875
104,0.515625
105,0.55625
106,0.515625
107,0.575
108,0.559375
109,0.528125
110,0.58125
111,0.484375
112,0.509375
113,0.55
114,0.53125
115,0.528125
116,0.528125
117,0.50625
118,0.51875
119,0.5375
120,0.51875
121,0.53125
122,0.525
123,0.5125
124,0.55
125,0.534375
126,0.55
127,0.534375
128,0.521875
129,0.553125
130,0.525
131,0.528125
132,0.559375
133,0.540625
134,0.5375
135,0.53125
136,0.575
137,0.534375
138,0.55
139,0.571875
140,0.540625
141,0.515625
142,0.575
143,0.515625
144,0.525
145,0.56875
146,0.603125
147,0.578125
148,0.540625
149,0.565625
150,0.528125
151,0.56875
152,0.571875
153,0.5375
154,0.528125
155,0.59375
156,0.546875
157,0.525
158,0.521875
159,0.565625
160,0.53125
161,0.609375
162,0.51875
163,0.559375
164,0.525
165,0.575
166,0.5375
167,0.54375
168,0.509375
169,0.521875
170,0.53125
171,0.546875
172,0.51875
173,0.540625
174,0.5375
175,0.5625
176,0.534375
177,0.575
178,0.5125
179,0.50625
180,0.54375
181,0.54375
182,0.55
183,0.559375
184,0.58125
185,0.54375
186,0.575
187,0.515625
188,0.546875
189,0.546875
190,0.546875
191,0.534375
192,0.515625
193,0.540625
194,0.55
195,0.528125
196,0.56875
197,0.571875
198,0.5625
199,0.559375
200,0.596875
201,0.54375
202,0.5125
203,0.540625
204,0.571875
205,0.559375
206,0.584375
207,0.54375
208,0.584375
209,0.578125
210,0.515625
211,0.559375
212,0.54375
213,0.553125
214,0.51875
215,0.528125
216,0.528125
217,0.5375
218,0.59375
219,0.546875
220,0.528125
221,0.5125
222,0.55
223,0.51875
224,0.559375
225,0.540625
226,0.5375
227,0.525
228,0.540625
229,0.56875
230,0.56875
231,0.515625
232,0.56875
233,0.55
234,0.53125
235,0.5
236,0.521875
237,0.525
238,0.521875
239,0.515625
240,0.51875
241,0.546875
242,0.553125
243,0.5625
244,0.559375
245,0.53125
246,0.553125
247,0.540625
248,0.50625
249,0.55625
250,0.55625
251,0.525
252,0.553125
253,0.584375
254,0.5375
255,0.5875
256,0.50625
257,0.525
258,0.54375
259,0.56875
260,0.578125
261,0.5375
262,0.571875
263,0.5875
264,0.53125
265,0.565625
266,0.5375
267,0.5375
268,0.5875
269,0.553125
270,0.571875
271,0.54375
272,0.565625
273,0.565625
274,0.559375
275,0.559375
276,0.509375
277,0.51875
278,0.540625
279,0.553125
280,0.534375
281,0.525
282,0.521875
283,0.540625
284,0.56875
285,0.55
286,0.584375
287,0.53125
288,0.578125
289,0.621875
290,0.55
291,0.534375
292,0.521875
293,0.528125
294,0.5375
295,0.5375
296,0.559375
297,0.534375
298,0.540625
299,0.565625
300,0.575
301,0.503125
302,0.53125
303,0.578125
304,0.5375
305,0.503125
306,0.546875
307,0.534375
308,0.51875
309,0.528125
310,0.534375
311,0.63125
312,0.509375
313,0.540625
314,0.525
315,0.596875
316,0.540625
317,0.56875
318,0.51875
319,0.58125
320,0.559375
321,0.5625
322,0.50625
323,0.53125
324,0.540625
325,0.528125
326,0.55625
327,0.521875
328,0.54375
329,0.51875
330,0.534375
331,0.528125
332,0.525
333,0.56875
334,0.50625
335,0.590625
336,0.525
337,0.5125
338,0.55
339,0.528125
340,0.55625
341,0.55625
342,0.553125
343,0.59375
344,0.534375
345,0.55625
346,0.521875
347,0.528125
348,0.525
349,0.56875
350,0.54375
351,0.5375
352,0.528125
353,0.528125
354,0.534375
355,0.5
356,0.515625
357,0.509375
358,0.628125
359,0.54375
360,0.528125
361,0.559375
362,0.521875
363,0.50625
364,0.515625
365,0.51875
366,0.565625
367,0.565625
368,0.565625
369,0.546875
370,0.55625
371,0.528125
372,0.528125
373,0.55625
374,0.546875
375,0.53125
376,0.56875
377,0.565625
378,0.55625
379,0.5625
380,0.528125
381,0.575
382,0.565625
383,0.5125
384,0.51875
385,0.5375
386,0.53125
387,0.509375
388,0.590625
389,0.51875
390,0.525
391,0.51875
392,0.565625
393,0.546875
394,0.534375
395,0.55
396,0.546875
397,0.509375
398,0.509375
399,0.503125
400,0.565625
401,0.5125
402,0.55
403,0.565625
404,0.528125
405,0.54375
406,0.528125
407,0.609375
408,0.50625
409,0.54375
410,0.509375
411,0.5375
412,0.58125
413,0.54375
414,0.528125
415,0.54375
416,0.56875
417,0.525
418,0.525
419,0.534375
420,0.5125
421,0.528125
422,0.534375
423,0.528125
424,0.553125
425,0.534375
426,0.534375
427,0.521875
428,0.55
429,0.528125
430,0.5375
431,0.571875
432,0.54375
433,0.5375
434,0.53125
435,0.53125
436,0.5875
437,0.553125
438,0.51875
439,0.54375
440,0.525
441,0.53125
442,0.5125
443,0.584375
444,0.521875
445,0.54375
446,0.584375
447,0.58125
448,0.54375
449,0.55625
450,0.553125
451,0.528125
452,0.521875
453,0.553125
454,0.51875
455,0.534375
456,0.484375
457,0.53125
458,0.525
459,0.5375
460,0.5875
461,0.546875
462,0.55
463,0.525
464,0.628125
465,0.5375
466,0.509375
467,0.528125
468,0.5625
469,0.51875
470,0.503125
471,0.5375
472,0.53125
473,0.525
474,0.54375
475,0.56875
476,0.565625
477,0.51875
478,0.5625
479,0.578125
480,0.553125
481,0.515625
482,0.546875
483,0.503125
484,0.528125
485,0.528125
486,0.546875
487,0.54375
488,0.49375
489,0.578125
490,0.5375
491,0.53125
492,0.521875
493,0.540625
494,0.49375
495,0.546875
496,0.55
497,0.54375
498,0.534375
499,0.540625
500,0.553125
501,0.65625
502,0.5625
503,0.540625
504,0.565625
505,0.53125
506,0.521875
507,0.58125
508,0.534375
509,0.5125
510,0.528125
511,0.51875
512,0.521875
513,0.54375
514,0.50625
515,0.575
516,0.5125
517,0.55625
518,0.540625
519,0.515625
520,0.58125
521,0.528125
522,0.528125
523,0.51875
524,0.528125
525,0.53125
526,0.5375
527,0.546875
528,0.546875
529,0.521875
530,0.5875
531,0.546875
532,0.56875
533,0.5625
534,0.546875
535,0.55625
536,0.525
537,0.521875
538,0.53125
539,0.525
540,0.509375
541,0.584375
542,0.525
543,0.528125
544,0.5625
545,0.509375
546,0.5875
547,0.50625
548,0.553125
549,0.534375
550,0.546875
551,0.54375
552,0.5
553,0.521875
554,0.60625
555,0.521875
556,0.54375
557,0.5125
558,0.521875
559,0.55625
560,0.565625
561,0.528125
562,0.525
563,0.53125
564,0.553125
565,0.55625
566,0.546875
567,0.553125
568,0.54375
569,0.53125
570,0.59375
571,0.540625
572,0.54375
573,0.565625
574,0.521875
575,0.534375
576,0.5875
577,0.53125
578,0.5375
579,0.565625
580,0.51875
581,0.525
582,0.515625
583,0.5125
584,0.559375
585,0.51875
586,0.5125
587,0.534375
588,0.534375
589,0.525
590,0.575
591,0.60625
592,0.540625
593,0.534375
594,0.5375
595,0.521875
596,0.546875
597,0.525
598,0.553125
599,0.55
600,0.521875
601,0.559375
602,0.584375
603,0.534375
604,0.509375
605,0.5625
606,0.54375
607,0.515625
608,0.53125
609,0.53125
610,0.546875
611,0.503125
612,0.571875
613,0.528125
614,0.521875
615,0.5375
616,0.55625
617,0.571875
618,0.5375
619,0.540625
620,0.55
621,0.53125
622,0.528125
623,0.55
624,0.55625
625,0.528125
626,0.553125
627,0.5375
628,0.534375
629,0.56875
630,0.5375
631,0.521875
632,0.50625
633,0.53125
634,0.5875
635,0.55625
636,0.55
637,0.5375
638,0.525
639,0.521875
640,0.525
641,0.54375
642,0.534375
643,0.5125
644,0.528125
645,0.55625
646,0.55
647,0.578125
648,0.515625
649,0.51875
650,0.5125
651,0.540625
652,0.546875
653,0.525
654,0.534375
655,0.509375
656,0.54375
657,0.56875
658,0.55625
659,0.534375
660,0.525
661,0.5375
662,0.54375
663,0.525
664,0.53125
665,0.54375
666,0.5875
667,0.571875
668,0.553125
669,0.55625
670,0.484375
671,0.509375
672,0.50625
673,0.53125
674,0.559375
675,0.559375
676,0.53125
677,0.55625
678,0.525
679,0.54375
680,0.55
681,0.546875
682,0.515625
683,0.553125
684,0.540625
685,0.5375
686,0.596875
687,0.525
688,0.534375
689,0.534375
690,0.496875
691,0.55
692,0.5125
693,0.534375
694,0.528125
695,0.609375
696,0.49375
697,0.565625
698,0.58125
699,0.55
700,0.578125
701,0.54375
702,0.5375
703,0.546875
704,0.53125
705,0.534375
706,0.540625
707,0.521875
708,0.553125
709,0.49375
710,0.546875
711,0.521875
712,0.528125
713,0.565625
714,0.54375
715,0.525
716,0.603125
717,0.51875
718,0.521875
719,0.546875
720,0.515625
721,0.525
722,0.55
723,0.540625
724,0.540625
725,0.596875
726,0.53125
727,0.540625
728,0.58125
729,0.56875
730,0.515625
731,0.571875
732,0.50625
733,0.5
734,0.534375
735,0.5375
736,0.525
737,0.51875
738,0.55
739,0.525
740,0.515625
741,0.559375
742,0.54375
743,0.53125
744,0.546875
745,0.534375
746,0.50625
747,0.534375
748,0.5375
749,0.53125
750,0.565625
751,0.5375
752,0.55625
753,0.53125
754,0.53125
755,0.521875
756,0.515625
757,0.590625
758,0.525
759,0.575
760,0.521875
761,0.54375
762,0.5375
763,0.525
764,0.553125
765,0.521875
766,0.515625
767,0.5125
768,0.525
769,0.540625
770,0.528125
771,0.525
772,0.525
773,0.56875
774,0.559375
775,0.54375
776,0.54375
777,0.546875
778,0.5375
779,0.534375
780,0.5625
781,0.5375
782,0.5125
783,0.525
784,0.521875
785,0.5
786,0.553125
787,0.521875
788,0.56875
789,0.546875
790,0.51875
791,0.53125
792,0.521875
793,0.55625
794,0.565625
795,0.55
796,0.55
797,0.540625
798,0.56875
799,0.5875
800,0.528125
801,0.58125
802,0.59375
803,0.528125
804,0.515625
805,0.5125
806,0.58125
807,0.525
808,0.578125
809,0.521875
810,0.51875
811,0.584375
812,0.55
813,0.534375
814,0.5625
815,0.55625
816,0.565625
817,0.53125
818,0.55
819,0.5125
820,0.575
821,0.584375
822,0.546875
823,0.54375
824,0.528125
825,0.534375
826,0.540625
827,0.509375
828,0.515625
829,0.528125
830,0.503125
831,0.565625
832,0.528125
833,0.553125
834,0.525
835,0.553125
836,0.525
837,0.565625
838,0.53125
839,0.509375
840,0.540625
841,0.521875
842,0.55
843,0.540625
844,0.50625
845,0.55
846,0.49375
847,0.56875
848,0.54375
849,0.56875
850,0.540625
851,0.51875
852,0.571875
853,0.50625
854,0.578125
855,0.565625
856,0.571875
857,0.509375
858,0.5375
859,0.540625
860,0.559375
861,0.509375
862,0.509375
863,0.528125
864,0.53125
865,0.534375
866,0.55625
867,0.534375
868,0.503125
869,0.584375
870,0.565625
871,0.515625
872,0.53125
873,0.565625
874,0.540625
875,0.5375
876,0.553125
877,0.5
878,0.55
879,0.5375
880,0.578125
881,0.5375
882,0.5625
883,0.575
884,0.5375
885,0.5875
886,0.565625
887,0.55625
888,0.525
889,0.5375
890,0.540625
891,0.5625
892,0.55625
893,0.64375
894,0.540625
895,0.5125
896,0.54375
897,0.534375
898,0.528125
899,0.575
900,0.54375
901,0.5125
902,0.50625
903,0.509375
904,0.5375
905,0.51875
906,0.525
907,0.56875
908,0.5375
909,0.509375
910,0.528125
911,0.540625
912,0.509375
913,0.553125
914,0.54375
915,0.50625
916,0.5875
917,0.60625
918,0.5375
919,0.5625
920,0.546875
921,0.5625
922,0.534375
923,0.534375
924,0.521875
925,0.5375
926,0.565625
927,0.528125
928,0.528125
929,0.54375
930,0.5125
931,0.521875
932,0.51875
933,0.534375
934,0.509375
935,0.571875
936,0.58125
937,0.55
938,0.5375
939,0.559375
940,0.5375
941,0.55
942,0.50625
943,0.534375
944,0.596875
945,0.51875
946,0.51875
947,0.540625
948,0.54375
949,0.565625
950,0.5125
951,0.546875
952,0.5625
953,0.55
954,0.578125
955,0.553125
956,0.553125
957,0.55
958,0.559375
959,0.546875
960,0.546875
961,0.51875
962,0.54375
963,0.5625
964,0.50625
965,0.5375
966,0.521875
967,0.540625
968,0.575
969,0.53125
970,0.525
971,0.528125
972,0.50625
973,0.553125
974,0.5375
975,0.5875
976,0.603125
977,0.553125
978,0.553125
979,0.5375
980,0.50625
981,0.55
982,0.5625
983,0.5375
984,0.54375
985,0.578125
986,0.584375
987,0.565625
988,0.515625
989,0.50625
990,0.50625
991,0.559375
992,0.5375
993,0.515625
994,0.540625
995,0.575
996,0.559375
997,0.578125
998,0.578125
999,0.55625
