seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0,0.49375,0.525,0.4625
0,1,0.475,0.49375,0.45625
0,2,0.475,0.49375,0.45625
0,3,0.490625,0.50625,0.475
0,4,0.484375,0.475,0.49375
0,5,0.46875,0.43125,0.50625
0,6,0.478125,0.48125,0.475
0,7,0.46875,0.46875,0.46875
0,8,0.4625,0.45625,0.46875
0,9,0.453125,0.4375,0.46875
0,10,0.478125,0.45,0.50625
0,11,0.48125,0.45,0.5125
0,12,0.484375,0.46875,0.5
0,13,0.478125,0.46875,0.4875
0,14,0.46875,0.44375,0.49375
0,15,0.434375,0.4125,0.45625
0,16,0.459375,0.4375,0.48125
0,17,0.45625,0.475,0.4375
0,18,0.446875,0.4625,0.43125
0,19,0.4875,0.50625,0.46875
0,20,0.4625,0.49375,0.43125
0,21,0.465625,0.4875,0.44375
0,22,0.490625,0.5,0.48125
0,23,0.4625,0.48125,0.44375
0,24,0.46875,0.46875,0.46875
0,25,0.496875,0.50625,0.4875
0,26,0.475,0.46875,0.48125
0,27,0.4875,0.475,0.5
0,28,0.45,0.41875,0.48125
0,29,0.459375,0.475,0.44375
0,30,0.45625,0.45,0.4625
0,31,0.46875,0.46875,0.46875
0,32,0.475,0.475,0.475
0,33,0.471875,0.46875,0.475
0,34,0.475,0.45625,0.49375
0,35,0.475,0.4625,0.4875
0,36,0.49375,0.4875,0.5
0,37,0.4625,0.46875,0.45625
0,38,0.475,0.46875,0.48125
0,39,0.434375,0.4125,0.45625
1,0,0.50625,0.525,0.4875
1,1,0.509375,0.50625,0.5125
1,2,0.5125,0.5125,0.5125
1,3,0.503125,0.4625,0.54375
1,4,0.515625,0.48125,0.55
1,5,0.465625,0.45625,0.475
1,6,0.48125,0.49375,0.46875
1,7,0.490625,0.50625,0.475
1,8,0.496875,0.5375,0.45625
1,9,0.44375,0.49375,0.39375
1,10,0.4875,0.5,0.475
1,11,0.484375,0.48125,0.4875
1,12,0.45625,0.44375,0.46875
1,13,0.4875,0.45625,0.51875
1,14,0.503125,0.4875,0.51875
1,15,0.475,0.45625,0.49375
1,16,0.503125,0.49375,0.5125
1,17,0.51875,0.5375,0.5
1,18,0.490625,0.50625,0.475
1,19,0.496875,0.5125,0.48125
1,20,0.490625,0.50625,0.475
1,21,0.490625,0.50625,0.475
1,22,0.471875,0.45625,0.4875
1,23,0.51875,0.50625,0.53125
1,24,0.515625,0.5375,0.49375
1,25,0.515625,0.5375,0.49375
1,26,0.525,0.53125,0.51875
1,27,0.50625,0.5,0.5125
1,28,0.50625,0.49375,0.51875
1,29,0.528125,0.525,0.53125
1,30,0.503125,0.50625,0.5
1,31,0.49375,0.5,0.4875
1,32,0.49375,0.49375,0.49375
1,33,0.49375,0.5,0.4875
1,34,0.484375,0.48125,0.4875
1,35,0.49375,0.5,0.4875
1,36,0.496875,0.50625,0.4875
1,37,0.4875,0.4875,0.4875
1,38,0.503125,0.50625,0.5
1,39,0.521875,0.51875,0.525
2,0,0.484375,0.475,0.49375
2,1,0.484375,0.48125,0.4875
2,2,0.503125,0.4625,0.54375
2,3,0.509375,0.51875,0.5
2,4,0.459375,0.46875,0.45
2,5,0.509375,0.5,0.51875
2,6,0.5,0.50625,0.49375
2,7,0.484375,0.5,0.46875
2,8,0.496875,0.5375,0.45625
2,9,0.471875,0.48125,0.4625
2,10,0.50625,0.54375,0.46875
2,11,0.496875,0.51875,0.475
2,12,0.478125,0.4875,0.46875
2,13,0.49375,0.5125,0.475
2,14,0.50625,0.525,0.4875
2,15,0.503125,0.53125,0.475
2,16,0.540625,0.53125,0.55
2,17,0.5125,0.5125,0.5125
2,18,0.50625,0.4875,0.525
2,19,0.515625,0.49375,0.5375
2,20,0.50625,0.4875,0.525
2,21,0.5125,0.5375,0.4875
2,22,0.509375,0.49375,0.525
2,23,0.528125,0.50625,0.55
2,24,0.553125,0.5,0.60625
2,25,0.540625,0.5125,0.56875
2,26,0.528125,0.50625,0.55
2,27,0.51875,0.50625,0.53125
2,28,0.509375,0.5375,0.48125
2,29,0.51875,0.55,0.4875
2,30,0.53125,0.5625,0.5
2,31,0.53125,0.55625,0.50625
2,32,0.54375,0.58125,0.50625
2,33,0.559375,0.59375,0.525
2,34,0.5125,0.53125,0.49375
2,35,0.51875,0.51875,0.51875
2,36,0.534375,0.55625,0.5125
2,37,0.546875,0.54375,0.55
2,38,0.496875,0.5125,0.48125
2,39,0.5125,0.49375,0.53125
3,0,0.503125,0.475,0.53125
3,1,0.5125,0.50625,0.51875
3,2,0.503125,0.51875,0.4875
3,3,0.49375,0.5,0.4875
3,4,0.49375,0.48125,0.50625
3,5,0.5,0.475,0.525
3,6,0.515625,0.525,0.50625
3,7,0.503125,0.475,0.53125
3,8,0.50625,0.5,0.5125
3,9,0.5375,0.51875,0.55625
3,10,0.521875,0.48125,0.5625
3,11,0.546875,0.525,0.56875
3,12,0.540625,0.49375,0.5875
3,13,0.5,0.46875,0.53125
3,14,0.5125,0.51875,0.50625
3,15,0.553125,0.54375,0.5625
3,16,0.559375,0.59375,0.525
3,17,0.5375,0.56875,0.50625
3,18,0.546875,0.53125,0.5625
3,19,0.521875,0.53125,0.5125
3,20,0.534375,0.54375,0.525
3,21,0.515625,0.51875,0.5125
3,22,0.50625,0.51875,0.49375
3,23,0.503125,0.525,0.48125
3,24,0.521875,0.5375,0.50625
3,25,0.509375,0.56875,0.45
3,26,0.528125,0.54375,0.5125
3,27,0.53125,0.55625,0.50625
3,28,0.528125,0.5375,0.51875
3,29,0.525,0.54375,0.50625
3,30,0.521875,0.5125,0.53125
3,31,0.5125,0.5,0.525
3,32,0.525,0.51875,0.53125
3,33,0.509375,0.49375,0.525
3,34,0.525,0.5375,0.5125
3,35,0.540625,0.53125,0.55
3,36,0.528125,0.54375,0.5125
3,37,0.5125,0.5,0.525
3,38,0.51875,0.5,0.5375
3,39,0.503125,0.475,0.53125
4,0,0.503125,0.41875,0.5875
4,1,0.525,0.5125,0.5375
4,2,0.503125,0.50625,0.5
4,3,0.5125,0.49375,0.53125
4,4,0.50625,0.5,0.5125
4,5,0.5125,0.4875,0.5375
4,6,0.503125,0.50625,0.5
4,7,0.465625,0.44375,0.4875
4,8,0.471875,0.46875,0.475
4,9,0.4,0.4125,0.3875
4,10,0.4375,0.48125,0.39375
4,11,0.459375,0.525,0.39375
4,12,0.46875,0.50625,0.43125
4,13,0.465625,0.475,0.45625
4,14,0.44375,0.45,0.4375
4,15,0.453125,0.475,0.43125
4,16,0.4375,0.45625,0.41875
4,17,0.484375,0.4875,0.48125
4,18,0.453125,0.43125,0.475
4,19,0.45625,0.475,0.4375
