layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.23734516547403067,0.05479490581990394,1.4808429118590421e-05,1.4808429118590421e-05,True
1,0.8154782482801243,0.09297044830371748,1.765046139184184e-18,1.8417872756704527e-18,True
2,0.8527899708777184,0.08205787093495596,2.6810709919403564e-25,3.0640811336461218e-25,True
3,0.92145444105772,0.08555314612113554,4.7415995918419665e-27,5.6899195102103596e-27,True
4,0.9110108529098172,0.09128615124107767,1.869808379314823e-23,2.0397909592525343e-23,True
5,1.2011107036911475,0.061270258282960406,1.443830935773457e-85,1.8237864451875247e-85,True
6,1.2587395135714585,0.04281893234322428,6.034326598476391e-190,8.519049315496081e-190,True
7,1.3024937576430722,0.04182564359523984,6.708013313995683e-213,1.0732821302393093e-212,True
8,1.2804938020181922,0.04200160217079709,3.900797093833168e-204,5.851195640749752e-204,True
9,1.2977489466759868,0.03971347663780748,3.2293028423666135e-234,5.961789862830672e-234,True
10,1.3501644997599014,0.03246660252979419,0.0,0.0,True
11,1.3539300182489091,0.028613983762250664,0.0,0.0,True
12,1.3547664818321468,0.027615428226219225,0.0,0.0,True
13,1.355603344530792,0.027996469019400855,0.0,0.0,True
14,1.3603329559484778,0.03090534719113028,0.0,0.0,True
15,1.3783177083789035,0.03411455317007622,0.0,0.0,True
16,1.3955353904871157,0.035799162701923036,0.0,0.0,True
17,1.4034580497906282,0.037683727635085144,1.371403846378085e-303,3.291369231307404e-303,True
18,1.3943052648361307,0.03560471385521107,0.0,0.0,True
19,1.39041571860169,0.034534055354630694,0.0,0.0,True
20,1.3953311053488542,0.0386734560657113,4.701902607679488e-285,1.0258696598573428e-284,True
21,1.3645058379294628,0.04272972602300004,9.182670253663459e-224,1.5741720434851643e-223,True
22,1.3781268638844177,0.04205126835828361,1.4499147198447096e-235,2.8998294396894192e-235,True
23,1.3419800071492691,0.05544068517435873,1.9380804479249223e-129,2.5841072638998965e-129,True
