item_index,image_word,condition,rating,max_probability,top_one_token,p1,p2,p3,p4,p5,total_probability_mass
0,library,congruent,3.671875,0.478515625,4,0.03466796875,0.08349609375,0.2265625,0.478515625,0.1767578125,1.0
0,refrigerator,congruent,3.46875,0.4375,4,0.059326171875,0.1259765625,0.234375,0.4375,0.142578125,1.0
0,library,incongruent,3.40625,0.423828125,4,0.07373046875,0.1376953125,0.2265625,0.423828125,0.1376953125,1.0
0,refrigerator,incongruent,3.34375,0.392578125,4,0.11279296875,0.14453125,0.185546875,0.392578125,0.1640625,1.0
1,delight,congruent,3.953125,0.55859375,4,0.024658203125,0.021728515625,0.16015625,0.55859375,0.2333984375,1.0
1,disappointment,congruent,3.625,0.51171875,4,0.025390625,0.078125,0.2734375,0.51171875,0.11376953125,1.0
1,delight,incongruent,3.453125,0.447265625,4,0.053466796875,0.11328125,0.271484375,0.447265625,0.11328125,1.0
1,disappointment,incongruent,3.421875,0.421875,4,0.12060546875,0.1064453125,0.17578125,0.421875,0.17578125,1.0
2,overcoat,congruent,3.453125,0.435546875,4,0.06689453125,0.12451171875,0.232421875,0.435546875,0.1416015625,1.0
2,sandals,congruent,3.46875,0.455078125,4,0.0791015625,0.1298828125,0.189453125,0.455078125,0.1474609375,1.0
2,overcoat,incongruent,3.40625,0.431640625,4,0.0849609375,0.1396484375,0.2041015625,0.431640625,0.1396484375,1.0
2,sandals,incongruent,3.484375,0.484375,4,0.07421875,0.12255859375,0.1787109375,0.484375,0.138671875,1.0
3,exam,congruent,3.59375,0.50390625,4,0.028564453125,0.099609375,0.23828125,0.50390625,0.1279296875,1.0
3,marathon,congruent,3.59375,0.50390625,4,0.0322265625,0.09912109375,0.23828125,0.50390625,0.126953125,1.0
3,exam,incongruent,3.375,0.423828125,4,0.08349609375,0.1552734375,0.2001953125,0.423828125,0.1376953125,1.0
3,marathon,incongruent,3.46875,0.458984375,4,0.06201171875,0.1318359375,0.216796875,0.458984375,0.1318359375,1.0
4,menu,congruent,3.59375,0.47265625,4,0.06396484375,0.0927734375,0.197265625,0.47265625,0.173828125,1.0
4,prescription,congruent,3.640625,0.5078125,4,0.053466796875,0.087890625,0.1865234375,0.5078125,0.1650390625,1.0
4,menu,incongruent,3.421875,0.4296875,4,0.095703125,0.1396484375,0.1787109375,0.4296875,0.158203125,1.0
4,prescription,incongruent,3.65625,0.51953125,4,0.062255859375,0.07958984375,0.1689453125,0.51953125,0.1689453125,1.0
5,distress,congruent,4.0625,0.59765625,4,0.01092529296875,0.0262451171875,0.11767578125,0.59765625,0.2490234375,1.0
5,tranquility,congruent,4.03125,0.59375,4,0.015869140625,0.026123046875,0.11669921875,0.59375,0.2470703125,1.0
5,distress,incongruent,3.53125,0.44140625,4,0.09814453125,0.1259765625,0.1259765625,0.44140625,0.2080078125,1.0
5,tranquility,incongruent,3.734375,0.4921875,4,0.0277099609375,0.06640625,0.232421875,0.4921875,0.1806640625,1.0
6,patients,congruent,3.8125,0.55859375,4,0.02783203125,0.052001953125,0.181640625,0.55859375,0.181640625,1.0
6,students,congruent,3.421875,0.42578125,4,0.0947265625,0.1220703125,0.201171875,0.42578125,0.15625,1.0
6,patients,incongruent,3.609375,0.4921875,4,0.05859375,0.08544921875,0.205078125,0.4921875,0.1591796875,1.0
6,students,incongruent,3.34375,0.40234375,4,0.130859375,0.130859375,0.16796875,0.40234375,0.16796875,1.0
7,consensus,congruent,3.875,0.54296875,4,0.01129150390625,0.044677734375,0.2001953125,0.54296875,0.2001953125,1.0
7,deadlock,congruent,3.53125,0.44921875,4,0.036865234375,0.12890625,0.240234375,0.44921875,0.1455078125,1.0
7,consensus,incongruent,3.265625,0.34375,4,0.07666015625,0.1845703125,0.267578125,0.34375,0.126953125,1.0
7,deadlock,incongruent,3.859375,0.52734375,4,0.023193359375,0.0556640625,0.171875,0.52734375,0.220703125,1.0
8,cancer,congruent,3.390625,0.390625,4,0.0869140625,0.11181640625,0.267578125,0.390625,0.1435546875,1.0
8,engagement,congruent,3.625,0.455078125,4,0.0615234375,0.0791015625,0.21484375,0.455078125,0.189453125,1.0
8,cancer,incongruent,3.34375,0.373046875,4,0.09423828125,0.1064453125,0.2890625,0.373046875,0.13671875,1.0
8,engagement,incongruent,3.734375,0.494140625,4,0.052001953125,0.06689453125,0.181640625,0.494140625,0.2060546875,1.0
9,classroom,congruent,3.640625,0.515625,4,0.042236328125,0.0791015625,0.21484375,0.515625,0.1474609375,1.0
9,terminal,congruent,3.515625,0.45703125,4,0.06201171875,0.11572265625,0.2158203125,0.45703125,0.1484375,1.0
9,classroom,incongruent,3.640625,0.51171875,4,0.0419921875,0.0888671875,0.212890625,0.51171875,0.146484375,1.0
9,terminal,incongruent,3.28125,0.3828125,4,0.10986328125,0.16015625,0.205078125,0.3828125,0.1416015625,1.0
10,cash,congruent,3.671875,0.546875,4,0.0186767578125,0.083984375,0.228515625,0.546875,0.1220703125,1.0
10,groceries,congruent,3.59375,0.48828125,4,0.03125,0.10888671875,0.23046875,0.48828125,0.1396484375,1.0
10,cash,incongruent,3.53125,0.48828125,4,0.03125,0.10888671875,0.26171875,0.48828125,0.10888671875,1.0
10,groceries,incongruent,3.5625,0.49609375,4,0.03173828125,0.11083984375,0.234375,0.49609375,0.1259765625,1.0
11,confident,congruent,3.6875,0.478515625,4,0.0269775390625,0.09423828125,0.2255859375,0.478515625,0.17578125,1.0
11,lonely,congruent,3.625,0.47265625,4,0.0111083984375,0.09326171875,0.287109375,0.47265625,0.1357421875,1.0
11,confident,incongruent,3.390625,0.3828125,4,0.052001953125,0.16015625,0.263671875,0.3828125,0.140625,1.0
11,lonely,incongruent,3.671875,0.46484375,4,0.023193359375,0.091796875,0.2490234375,0.46484375,0.1708984375,1.0
12,joy,congruent,4.0625,0.546875,4,0.0145263671875,0.027099609375,0.12158203125,0.546875,0.291015625,0.99609375
12,outrage,congruent,3.828125,0.484375,4,0.02734375,0.057861328125,0.2021484375,0.484375,0.228515625,1.0
12,joy,incongruent,3.59375,0.42578125,4,0.0654296875,0.107421875,0.201171875,0.42578125,0.201171875,1.0
12,outrage,incongruent,3.9375,0.5,4,0.0281982421875,0.041015625,0.162109375,0.5,0.267578125,1.0
13,snowstorm,congruent,3.5,0.451171875,4,0.06103515625,0.12890625,0.212890625,0.451171875,0.146484375,1.0
13,traffic,congruent,3.546875,0.48828125,4,0.04541015625,0.12353515625,0.203125,0.48828125,0.1396484375,1.0
