layer_index,all_accuracy,threshold_95,maxstat_p,exceeds_95th_percentile
0,0.521875,0.578125,0.7432567432567433,False
1,0.6125,0.578125,0.007992007992007992,True
2,0.646875,0.578125,0.000999000999000999,True
3,0.628125,0.578125,0.002997002997002997,True
4,0.65,0.578125,0.000999000999000999,True
5,0.734375,0.578125,0.000999000999000999,True
6,0.828125,0.578125,0.000999000999000999,True
7,0.83125,0.578125,0.000999000999000999,True
8,0.859375,0.578125,0.000999000999000999,True
9,0.8375,0.578125,0.000999000999000999,True
10,0.896875,0.578125,0.000999000999000999,True
11,0.903125,0.578125,0.000999000999000999,True
12,0.90625,0.578125,0.000999000999000999,True
13,0.903125,0.578125,0.000999000999000999,True
14,0.884375,0.578125,0.000999000999000999,True
15,0.878125,0.578125,0.000999000999000999,True
16,0.865625,0.578125,0.000999000999000999,True
17,0.8625,0.578125,0.000999000999000999,True
18,0.865625,0.578125,0.000999000999000999,True
19,0.846875,0.578125,0.000999000999000999,True
20,0.828125,0.578125,0.000999000999000999,True
21,0.834375,0.578125,0.000999000999000999,True
22,0.821875,0.578125,0.000999000999000999,True
23,0.7875,0.578125,0.000999000999000999,True
