seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0,0.5,0.50625,0.49375
0,1,0.490625,0.55,0.43125
0,2,0.4875,0.54375,0.43125
0,3,0.490625,0.51875,0.4625
0,4,0.48125,0.53125,0.43125
0,5,0.525,0.5,0.55
0,6,0.46875,0.46875,0.46875
0,7,0.46875,0.475,0.4625
0,8,0.465625,0.4625,0.46875
0,9,0.490625,0.48125,0.5
0,10,0.45625,0.48125,0.43125
0,11,0.46875,0.48125,0.45625
0,12,0.4375,0.4625,0.4125
0,13,0.453125,0.4375,0.46875
0,14,0.475,0.43125,0.51875
0,15,0.503125,0.4875,0.51875
0,16,0.503125,0.48125,0.525
0,17,0.515625,0.475,0.55625
0,18,0.4625,0.43125,0.49375
0,19,0.5,0.4625,0.5375
0,20,0.490625,0.45625,0.525
0,21,0.496875,0.46875,0.525
0,22,0.465625,0.4375,0.49375
0,23,0.475,0.45,0.5
1,0,0.496875,0.50625,0.4875
1,1,0.53125,0.51875,0.54375
1,2,0.528125,0.48125,0.575
1,3,0.515625,0.48125,0.55
1,4,0.521875,0.49375,0.55
1,5,0.51875,0.49375,0.54375
1,6,0.515625,0.49375,0.5375
1,7,0.46875,0.46875,0.46875
1,8,0.46875,0.475,0.4625
1,9,0.50625,0.51875,0.49375
1,10,0.5125,0.49375,0.53125
1,11,0.5125,0.50625,0.51875
1,12,0.5125,0.51875,0.50625
1,13,0.503125,0.49375,0.5125
1,14,0.478125,0.48125,0.475
1,15,0.48125,0.49375,0.46875
1,16,0.4875,0.49375,0.48125
1,17,0.46875,0.46875,0.46875
1,18,0.48125,0.46875,0.49375
1,19,0.521875,0.51875,0.525
1,20,0.5125,0.525,0.5
1,21,0.48125,0.4875,0.475
1,22,0.49375,0.4625,0.525
1,23,0.515625,0.53125,0.5
2,0,0.5,0.53125,0.46875
2,1,0.4875,0.49375,0.48125
2,2,0.465625,0.43125,0.5
2,3,0.51875,0.5375,0.5
2,4,0.5,0.5625,0.4375
2,5,0.4875,0.49375,0.48125
2,6,0.521875,0.50625,0.5375
2,7,0.53125,0.5125,0.55
2,8,0.521875,0.49375,0.55
2,9,0.50625,0.46875,0.54375
2,10,0.534375,0.49375,0.575
2,11,0.484375,0.46875,0.5
2,12,0.528125,0.5125,0.54375
2,13,0.509375,0.4875,0.53125
2,14,0.490625,0.50625,0.475
2,15,0.525,0.525,0.525
2,16,0.5125,0.50625,0.51875
2,17,0.49375,0.48125,0.50625
2,18,0.509375,0.49375,0.525
2,19,0.51875,0.5375,0.5
2,20,0.5125,0.525,0.5
2,21,0.51875,0.55625,0.48125
2,22,0.509375,0.55,0.46875
2,23,0.53125,0.55625,0.50625
3,0,0.49375,0.4625,0.525
3,1,0.496875,0.48125,0.5125
3,2,0.496875,0.50625,0.4875
3,3,0.490625,0.5625,0.41875
3,4,0.50625,0.5375,0.475
3,5,0.51875,0.54375,0.49375
3,6,0.5,0.4875,0.5125
3,7,0.484375,0.4625,0.50625
3,8,0.49375,0.475,0.5125
3,9,0.503125,0.5,0.50625
3,10,0.478125,0.45,0.50625
3,11,0.471875,0.475,0.46875
3,12,0.465625,0.44375,0.4875
3,13,0.490625,0.44375,0.5375
3,14,0.45,0.4375,0.4625
3,15,0.46875,0.4875,0.45
3,16,0.503125,0.525,0.48125
3,17,0.48125,0.48125,0.48125
3,18,0.44375,0.45,0.4375
3,19,0.48125,0.50625,0.45625
3,20,0.496875,0.5375,0.45625
3,21,0.49375,0.51875,0.46875
3,22,0.50625,0.55625,0.45625
3,23,0.5,0.525,0.475
4,0,0.503125,0.53125,0.475
4,1,0.515625,0.5375,0.49375
4,2,0.534375,0.55625,0.5125
4,3,0.509375,0.50625,0.5125
4,4,0.50625,0.48125,0.53125
4,5,0.534375,0.54375,0.525
4,6,0.478125,0.5125,0.44375
4,7,0.503125,0.50625,0.5
4,8,0.49375,0.425,0.5625
4,9,0.48125,0.45,0.5125
4,10,0.48125,0.4625,0.5
4,11,0.453125,0.45,0.45625
4,12,0.465625,0.425,0.50625
4,13,0.45,0.45625,0.44375
4,14,0.49375,0.50625,0.48125
4,15,0.48125,0.5,0.4625
4,16,0.48125,0.50625,0.45625
4,17,0.515625,0.49375,0.5375
4,18,0.496875,0.49375,0.5
4,19,0.49375,0.525,0.4625
4,20,0.503125,0.5375,0.46875
4,21,0.475,0.50625,0.44375
4,22,0.484375,0.51875,0.45
4,23,0.4875,0.54375,0.43125
5,0,0.5,0.45625,0.54375
5,1,0.5,0.5375,0.4625
5,2,0.503125,0.49375,0.5125
5,3,0.5,0.4875,0.5125
5,4,0.478125,0.40625,0.55
5,5,0.496875,0.46875,0.525
5,6,0.50625,0.475,0.5375
5,7,0.503125,0.475,0.53125
5,8,0.4875,0.4875,0.4875
5,9,0.484375,0.475,0.49375
5,10,0.503125,0.50625,0.5
5,11,0.5125,0.475,0.55
5,12,0.496875,0.525,0.46875
5,13,0.490625,0.4875,0.49375
5,14,0.446875,0.45,0.44375
5,15,0.475,0.45,0.5
5,16,0.503125,0.5125,0.49375
5,17,0.48125,0.48125,0.48125
5,18,0.484375,0.4875,0.48125
5,19,0.459375,0.4375,0.48125
5,20,0.4875,0.46875,0.50625
5,21,0.496875,0.46875,0.525
5,22,0.49375,0.46875,0.51875
5,23,0.51875,0.4875,0.55
6,0,0.496875,0.50625,0.4875
6,1,0.509375,0.51875,0.5
6,2,0.515625,0.51875,0.5125
6,3,0.521875,0.51875,0.525
6,4,0.5125,0.525,0.5
6,5,0.509375,0.4875,0.53125
6,6,0.496875,0.4625,0.53125
6,7,0.490625,0.46875,0.5125
6,8,0.5,0.49375,0.50625
6,9,0.50625,0.49375,0.51875
6,10,0.515625,0.53125,0.5
6,11,0.48125,0.46875,0.49375
6,12,0.48125,0.46875,0.49375
6,13,0.50625,0.46875,0.54375
6,14,0.478125,0.46875,0.4875
6,15,0.4625,0.4375,0.4875
6,16,0.5,0.4875,0.5125
6,17,0.49375,0.50625,0.48125
6,18,0.5,0.48125,0.51875
6,19,0.465625,0.49375,0.4375
6,20,0.484375,0.50625,0.4625
6,21,0.49375,0.50625,0.48125
6,22,0.484375,0.4875,0.48125
6,23,0.49375,0.45625,0.53125
7,0,0.496875,0.50625,0.4875
7,1,0.503125,0.50625,0.5
7,2,0.484375,0.475,0.49375
7,3,0.475,0.5,0.45
7,4,0.515625,0.51875,0.5125
7,5,0.509375,0.475,0.54375
7,6,0.5125,0.50625,0.51875
7,7,0.465625,0.44375,0.4875
7,8,0.4875,0.50625,0.46875
7,9,0.421875,0.375,0.46875
7,10,0.4375,0.4375,0.4375
7,11,0.440625,0.44375,0.4375
7,12,0.440625,0.475,0.40625
7,13,0.45625,0.4625,0.45
7,14,0.428125,0.46875,0.3875
7,15,0.45,0.46875,0.43125
7,16,0.46875,0.49375,0.44375
7,17,0.484375,0.475,0.49375
7,18,0.45,0.49375,0.40625
7,19,0.465625,0.4875,0.44375
7,20,0.475,0.48125,0.46875
7,21,0.45625,0.4875,0.425
7,22,0.4625,0.475,0.45
7,23,0.503125,0.475,0.53125
8,0,0.503125,0.5,0.50625
8,1,0.51875,0.5625,0.475
8,2,0.49375,0.4875,0.5
8,3,0.509375,0.48125,0.5375
8,4,0.496875,0.5125,0.48125
8,5,0.509375,0.4875,0.53125
8,6,0.559375,0.58125,0.5375
8,7,0.590625,0.6125,0.56875
8,8,0.565625,0.55625,0.575
8,9,0.528125,0.5625,0.49375
8,10,0.559375,0.5625,0.55625
8,11,0.5375,0.56875,0.50625
8,12,0.553125,0.54375,0.5625
8,13,0.559375,0.55,0.56875
8,14,0.546875,0.55,0.54375
8,15,0.56875,0.5625,0.575
8,16,0.534375,0.50625,0.5625
8,17,0.565625,0.575,0.55625
8,18,0.578125,0.575,0.58125
8,19,0.54375,0.53125,0.55625
8,20,0.553125,0.54375,0.5625
8,21,0.559375,0.55625,0.5625
8,22,0.53125,0.525,0.5375
8,23,0.559375,0.5375,0.58125
9,0,0.50625,0.51875,0.49375
9,1,0.509375,0.54375,0.475
9,2,0.534375,0.55,0.51875
9,3,0.503125,0.54375,0.4625
9,4,0.528125,0.525,0.53125
9,5,0.525,0.50625,0.54375
9,6,0.521875,0.475,0.56875
9,7,0.553125,0.55625,0.55
9,8,0.55625,0.55625,0.55625
9,9,0.540625,0.5125,0.56875
9,10,0.53125,0.49375,0.56875
9,11,0.5375,0.4875,0.5875
9,12,0.578125,0.5625,0.59375
9,13,0.559375,0.56875,0.55
9,14,0.54375,0.55625,0.53125
9,15,0.565625,0.56875,0.5625
9,16,0.5375,0.525,0.55
9,17,0.55,0.5125,0.5875
9,18,0.540625,0.51875,0.5625
9,19,0.53125,0.51875,0.54375
9,20,0.534375,0.525,0.54375
9,21,0.559375,0.56875,0.55
9,22,0.5375,0.5375,0.5375
9,23,0.55625,0.55,0.5625
10,0,0.515625,0.53125,0.5
10,1,0.521875,0.54375,0.5
10,2,0.515625,0.5375,0.49375
10,3,0.490625,0.4875,0.49375
10,4,0.49375,0.51875,0.46875
10,5,0.48125,0.43125,0.53125
10,6,0.50625,0.4625,0.55
10,7,0.484375,0.5125,0.45625
10,8,0.50625,0.5125,0.5
10,9,0.503125,0.525,0.48125
10,10,0.5,0.48125,0.51875
10,11,0.540625,0.53125,0.55
10,12,0.503125,0.5125,0.49375
10,13,0.51875,0.5375,0.5
10,14,0.525,0.55625,0.49375
10,15,0.51875,0.53125,0.50625
10,16,0.51875,0.575,0.4625
10,17,0.534375,0.55625,0.5125
10,18,0.53125,0.55625,0.50625
10,19,0.509375,0.525,0.49375
10,20,0.509375,0.51875,0.5
10,21,0.5,0.5,0.5
10,22,0.50625,0.51875,0.49375
10,23,0.48125,0.50625,0.45625
11,0,0.50625,0.525,0.4875
11,1,0.515625,0.55625,0.475
11,2,0.534375,0.54375,0.525
11,3,0.525,0.51875,0.53125
11,4,0.528125,0.55,0.50625
11,5,0.5375,0.50625,0.56875
11,6,0.540625,0.55,0.53125
11,7,0.51875,0.53125,0.50625
11,8,0.51875,0.54375,0.49375
11,9,0.5125,0.54375,0.48125
11,10,0.5375,0.56875,0.50625
11,11,0.565625,0.55,0.58125
11,12,0.534375,0.5625,0.50625
11,13,0.528125,0.525,0.53125
11,14,0.553125,0.54375,0.5625
11,15,0.546875,0.53125,0.5625
11,16,0.49375,0.4875,0.5
11,17,0.503125,0.4875,0.51875
11,18,0.50625,0.46875,0.54375
11,19,0.5125,0.4875,0.5375
11,20,0.490625,0.5,0.48125
11,21,0.528125,0.525,0.53125
11,22,0.521875,0.51875,0.525
11,23,0.54375,0.525,0.5625
12,0,0.496875,0.48125,0.5125
12,1,0.503125,0.5,0.50625
12,2,0.4875,0.45625,0.51875
12,3,0.471875,0.4875,0.45625
12,4,0.478125,0.4625,0.49375
12,5,0.496875,0.5,0.49375
12,6,0.515625,0.50625,0.525
12,7,0.51875,0.4875,0.55
12,8,0.50625,0.48125,0.53125
12,9,0.53125,0.5375,0.525
12,10,0.515625,0.53125,0.5
12,11,0.53125,0.5375,0.525
12,12,0.525,0.5375,0.5125
12,13,0.546875,0.54375,0.55
12,14,0.521875,0.51875,0.525
12,15,0.51875,0.53125,0.50625
12,16,0.503125,0.51875,0.4875
12,17,0.5125,0.525,0.5
12,18,0.5375,0.56875,0.50625
12,19,0.5375,0.5625,0.5125
12,20,0.5375,0.5875,0.4875
12,21,0.54375,0.575,0.5125
12,22,0.553125,0.58125,0.525
12,23,0.5625,0.55,0.575
13,0,0.496875,0.50625,0.4875
13,1,0.48125,0.475,0.4875
13,2,0.50625,0.49375,0.51875
13,3,0.509375,0.525,0.49375
13,4,0.49375,0.4875,0.5
13,5,0.490625,0.48125,0.5
13,6,0.490625,0.4625,0.51875
13,7,0.5125,0.5125,0.5125
13,8,0.5125,0.49375,0.53125
13,9,0.509375,0.5,0.51875
13,10,0.5,0.48125,0.51875
13,11,0.5125,0.53125,0.49375
13,12,0.5,0.5,0.5
13,13,0.509375,0.51875,0.5
13,14,0.515625,0.525,0.50625
13,15,0.50625,0.51875,0.49375
13,16,0.509375,0.48125,0.5375
13,17,0.49375,0.49375,0.49375
13,18,0.465625,0.4875,0.44375
13,19,0.46875,0.4625,0.475
13,20,0.4875,0.49375,0.48125
13,21,0.48125,0.48125,0.48125
13,22,0.509375,0.5125,0.50625
13,23,0.5,0.45625,0.54375
14,0,0.503125,0.48125,0.525
14,1,0.46875,0.425,0.5125
14,2,0.459375,0.4375,0.48125
14,3,0.50625,0.475,0.5375
14,4,0.50625,0.525,0.4875
14,5,0.490625,0.475,0.50625
14,6,0.50625,0.4875,0.525
14,7,0.490625,0.45,0.53125
14,8,0.509375,0.50625,0.5125
14,9,0.5,0.44375,0.55625
14,10,0.496875,0.5,0.49375
14,11,0.490625,0.475,0.50625
14,12,0.4875,0.4875,0.4875
14,13,0.5,0.50625,0.49375
14,14,0.475,0.475,0.475
14,15,0.49375,0.5125,0.475
14,16,0.496875,0.49375,0.5
14,17,0.525,0.53125,0.51875
14,18,0.50625,0.50625,0.50625
14,19,0.509375,0.5375,0.48125
14,20,0.503125,0.5125,0.49375
14,21,0.4875,0.50625,0.46875
14,22,0.496875,0.475,0.51875
14,23,0.5,0.48125,0.51875
15,0,0.490625,0.51875,0.4625
15,1,0.49375,0.45625,0.53125
15,2,0.5125,0.50625,0.51875
15,3,0.49375,0.53125,0.45625
15,4,0.496875,0.475,0.51875
15,5,0.4875,0.4625,0.5125
15,6,0.509375,0.49375,0.525
15,7,0.528125,0.50625,0.55
15,8,0.51875,0.49375,0.54375
15,9,0.55625,0.5375,0.575
15,10,0.5625,0.5125,0.6125
15,11,0.546875,0.5125,0.58125
15,12,0.546875,0.525,0.56875
15,13,0.5375,0.55625,0.51875
15,14,0.534375,0.51875,0.55
15,15,0.525,0.51875,0.53125
15,16,0.509375,0.4875,0.53125
15,17,0.521875,0.54375,0.5
15,18,0.509375,0.51875,0.5
15,19,0.50625,0.50625,0.50625
15,20,0.540625,0.50625,0.575
15,21,0.528125,0.50625,0.55
15,22,0.5125,0.475,0.55
15,23,0.525,0.49375,0.55625
16,0,0.5,0.48125,0.51875
16,1,0.484375,0.46875,0.5
16,2,0.496875,0.49375,0.5
16,3,0.490625,0.43125,0.55
16,4,0.48125,0.48125,0.48125
16,5,0.503125,0.5,0.50625
16,6,0.51875,0.48125,0.55625
16,7,0.471875,0.4625,0.48125
16,8,0.46875,0.45,0.4875
