seed,max_accuracy
0,0.51875
1,0.525
2,0.54375
3,0.55
4,0.53125
5,0.5375
6,0.540625
7,0.51875
8,0.6
9,0.584375
10,0.559375
11,0.56875
12,0.55
13,0.5375
14,0.546875
15,0.5625
16,0.553125
17,0.546875
18,0.5375
19,0.596875
20,0.590625
21,0.53125
22,0.53125
23,0.55625
24,0.525
25,0.54375
26,0.521875
27,0.559375
28,0.559375
29,0.51875
30,0.525
31,0.55
32,0.509375
33,0.528125
34,0.515625
35,0.571875
36,0.503125
37,0.515625
38,0.584375
39,0.515625
40,0.540625
41,0.553125
42,0.5125
43,0.559375
44,0.534375
45,0.584375
46,0.5625
47,0.553125
48,0.525
49,0.56875
50,0.51875
51,0.546875
52,0.559375
53,0.525
54,0.565625
55,0.515625
56,0.55625
57,0.528125
58,0.5375
59,0.51875
60,0.5125
61,0.565625
62,0.53125
63,0.5375
64,0.534375
65,0.5125
66,0.521875
67,0.565625
68,0.584375
69,0.603125
70,0.559375
71,0.53125
72,0.534375
73,0.54375
74,0.55625
75,0.5375
76,0.540625
77,0.540625
78,0.5375
79,0.509375
80,0.521875
81,0.5125
82,0.5375
83,0.525
84,0.528125
85,0.590625
86,0.528125
87,0.553125
88,0.534375
89,0.534375
90,0.546875
91,0.534375
92,0.515625
93,0.525
94,0.55
95,0.515625
96,0.51875
97,0.53125
98,0.534375
99,0.553125
100,0.540625
101,0.55
102,0.51875
103,0.58125
104,0.515625
105,0.5625
106,0.540625
107,0.5625
108,0.565625
109,0.528125
110,0.55
111,0.515625
112,0.50625
113,0.54375
114,0.540625
115,0.521875
116,0.503125
117,0.50625
118,0.546875
119,0.540625
120,0.509375
121,0.51875
122,0.565625
123,0.5
124,0.565625
125,0.553125
126,0.5375
127,0.515625
128,0.5375
129,0.51875
130,0.53125
131,0.5375
132,0.54375
133,0.54375
134,0.546875
135,0.53125
136,0.590625
137,0.503125
138,0.55625
139,0.546875
140,0.51875
141,0.534375
142,0.55
143,0.521875
144,0.534375
145,0.534375
146,0.584375
147,0.575
148,0.534375
149,0.55625
150,0.51875
151,0.54375
152,0.5625
153,0.53125
154,0.509375
155,0.565625
156,0.565625
157,0.525
158,0.53125
159,0.55625
160,0.528125
161,0.6125
162,0.5125
163,0.571875
164,0.51875
165,0.546875
166,0.521875
167,0.515625
168,0.534375
169,0.53125
170,0.49375
171,0.509375
172,0.528125
173,0.559375
174,0.521875
175,0.53125
176,0.553125
177,0.5
178,0.50625
179,0.521875
180,0.50625
181,0.540625
182,0.553125
183,0.571875
184,0.553125
185,0.534375
186,0.553125
187,0.528125
188,0.528125
189,0.55625
190,0.553125
191,0.55
192,0.525
193,0.51875
194,0.55
195,0.515625
196,0.559375
197,0.571875
198,0.525
199,0.5875
200,0.5625
201,0.51875
202,0.5375
203,0.53125
204,0.540625
205,0.515625
206,0.571875
207,0.534375
208,0.546875
209,0.571875
210,0.50625
211,0.565625
212,0.525
213,0.54375
214,0.540625
215,0.534375
216,0.55
217,0.509375
218,0.5625
219,0.553125
220,0.5125
221,0.503125
222,0.5625
223,0.50625
224,0.55
225,0.525
226,0.521875
227,0.53125
228,0.5375
229,0.56875
230,0.55625
231,0.515625
232,0.571875
233,0.528125
234,0.534375
235,0.503125
236,0.528125
237,0.559375
238,0.49375
239,0.525
240,0.5125
241,0.55625
242,0.55625
243,0.496875
244,0.55
245,0.51875
246,0.540625
247,0.54375
248,0.521875
249,0.546875
250,0.58125
251,0.503125
252,0.565625
253,0.559375
254,0.528125
255,0.578125
256,0.5
257,0.521875
258,0.51875
259,0.55
260,0.559375
261,0.54375
262,0.5375
263,0.58125
264,0.528125
265,0.571875
266,0.5125
267,0.51875
268,0.578125
269,0.528125
270,0.5625
271,0.534375
272,0.553125
273,0.5875
274,0.5625
275,0.525
276,0.525
277,0.540625
278,0.54375
279,0.5625
280,0.54375
281,0.509375
282,0.503125
283,0.55
284,0.584375
285,0.54375
286,0.553125
287,0.55625
288,0.509375
289,0.60625
