layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.559375,0.54375,0.575
1,0.565625,0.55625,0.575
2,0.58125,0.5375,0.625
3,0.565625,0.54375,0.5875
4,0.55625,0.5375,0.575
5,0.55625,0.55,0.5625
6,0.575,0.55,0.6
7,0.709375,0.7,0.71875
8,0.721875,0.71875,0.725
9,0.796875,0.79375,0.8
10,0.803125,0.79375,0.8125
11,0.796875,0.76875,0.825
12,0.825,0.8,0.85
13,0.81875,0.80625,0.83125
14,0.81875,0.80625,0.83125
15,0.825,0.8,0.85
16,0.840625,0.84375,0.8375
17,0.834375,0.8125,0.85625
18,0.865625,0.8625,0.86875
19,0.865625,0.8625,0.86875
20,0.8625,0.85625,0.86875
21,0.865625,0.86875,0.8625
22,0.86875,0.86875,0.86875
23,0.86875,0.8625,0.875
24,0.8625,0.85625,0.86875
25,0.85,0.83125,0.86875
26,0.859375,0.84375,0.875
27,0.865625,0.86875,0.8625
28,0.8625,0.8625,0.8625
29,0.871875,0.8625,0.88125
30,0.86875,0.8625,0.875
31,0.878125,0.88125,0.875
32,0.878125,0.88125,0.875
33,0.878125,0.8875,0.86875
34,0.865625,0.875,0.85625
35,0.8625,0.8625,0.8625
36,0.8625,0.875,0.85
37,0.865625,0.875,0.85625
38,0.8625,0.88125,0.84375
39,0.86875,0.89375,0.84375
40,0.88125,0.9125,0.85
41,0.890625,0.91875,0.8625
42,0.89375,0.93125,0.85625
43,0.9,0.925,0.875
44,0.9125,0.93125,0.89375
45,0.925,0.93125,0.91875
46,0.925,0.93125,0.91875
47,0.934375,0.94375,0.925
48,0.953125,0.95625,0.95
49,0.971875,0.975,0.96875
50,0.978125,0.975,0.98125
51,0.984375,0.975,0.99375
52,0.984375,0.975,0.99375
53,0.9875,0.98125,0.99375
54,0.98125,0.98125,0.98125
55,0.984375,0.98125,0.9875
56,0.984375,0.98125,0.9875
57,0.984375,0.98125,0.9875
58,0.98125,0.975,0.9875
59,0.984375,0.98125,0.9875
60,0.98125,0.975,0.9875
61,0.978125,0.975,0.98125
62,0.98125,0.975,0.9875
63,0.971875,0.96875,0.975
64,0.959375,0.9625,0.95625
65,0.95625,0.95,0.9625
66,0.95625,0.95,0.9625
67,0.953125,0.94375,0.9625
68,0.95,0.94375,0.95625
69,0.95,0.95,0.95
70,0.95,0.95625,0.94375
71,0.946875,0.95625,0.9375
72,0.9375,0.9625,0.9125
73,0.9375,0.95625,0.91875
74,0.934375,0.9625,0.90625
75,0.91875,0.95,0.8875
76,0.921875,0.9625,0.88125
77,0.9125,0.94375,0.88125
78,0.878125,0.9,0.85625
79,0.878125,0.9125,0.84375
