layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.20490031624892252,0.05181297059515388,7.665820641652435e-05,7.665820641652435e-05,True
1,0.3467515787449013,0.07548108660425203,4.350651340765018e-06,4.539810094711323e-06,True
2,0.9825864879449925,0.06998963125474925,8.993598089764861e-45,1.0278397816874126e-44,True
3,1.0448259735290968,0.08211237774555548,4.331081845424637e-37,4.724816558645059e-37,True
4,1.1460870424354308,0.0499221686339274,1.2406931952682044e-116,1.7515668639080532e-116,True
5,1.14092540529641,0.05183894618815648,2.359383704033017e-107,3.145844938710689e-107,True
6,1.1556485233018818,0.05639239891879238,2.4867532285482077e-93,2.984103874257849e-93,True
7,1.2429356119643036,0.046521684576559696,2.9602126661826125e-157,5.465007999106362e-157,True
8,1.2637916594499519,0.047757054868283876,2.5903164995752944e-154,4.440542570700504e-154,True
9,1.292137840879465,0.03985619172135165,1.4344329800427655e-230,6.885278304205274e-230,True
10,1.3068232346857171,0.04173006176580758,2.816397234121151e-215,9.656219088415374e-215,True
11,1.343707121631123,0.04016518871052941,2.2122570711475454e-245,1.7698056569180363e-244,True
12,1.3358012079061017,0.03400438728181379,0.0,0.0,True
13,1.3366444755858655,0.03370987479413548,0.0,0.0,True
14,1.3357317529064714,0.04009243483058481,2.242024753262898e-243,1.345214851957739e-242,True
15,1.3329806135613842,0.04340257045622105,3.933477834637204e-207,1.0489274225699211e-206,True
16,1.3808586041626736,0.043829565081593455,7.375963197217244e-218,2.9503852788868975e-217,True
17,1.3920544926097105,0.04524334436987754,6.990247364062291e-208,2.0970742092186875e-207,True
18,1.3621820312775608,0.045373019014349945,5.089840370322608e-198,1.2215616888774259e-197,True
19,1.3918442852842028,0.047902686502465916,1.3051249433933499e-185,2.847545331040036e-185,True
20,1.4013698118644968,0.05215263594022042,4.853508024340255e-159,9.70701604868051e-159,True
21,1.3861134641990436,0.054622652334224614,4.623016900041063e-142,7.396827040065701e-142,True
22,1.3614916317959085,0.05594862272149649,8.423562882549556e-131,1.2635344323824335e-130,True
23,1.3091312605605432,0.062208794460286695,2.5870939059727328e-98,3.267908091755031e-98,True
