item_index,image_word,condition,rating,max_probability,top_one_token,p1,p2,p3,p4,p5,total_probability_mass
0,library,congruent,3.125,0.240234375,1,0.240234375,0.11376953125,0.1650390625,0.240234375,0.240234375,0.89453125
0,refrigerator,congruent,3.03125,0.2392578125,1,0.2392578125,0.1455078125,0.1650390625,0.2392578125,0.2109375,0.84765625
0,library,incongruent,3.109375,0.2314453125,1,0.2314453125,0.1240234375,0.1806640625,0.2314453125,0.2314453125,0.87890625
0,refrigerator,incongruent,3.015625,0.255859375,1,0.255859375,0.13671875,0.1552734375,0.2255859375,0.2255859375,0.82421875
1,delight,congruent,3.0625,0.291015625,1,0.291015625,0.12109375,0.12109375,0.1767578125,0.291015625,0.96875
1,disappointment,congruent,3.109375,0.2734375,1,0.2734375,0.11376953125,0.12890625,0.2119140625,0.2734375,0.9765625
1,delight,incongruent,3.046875,0.28515625,1,0.28515625,0.119140625,0.134765625,0.173828125,0.28515625,0.96875
1,disappointment,incongruent,3.078125,0.279296875,1,0.279296875,0.11669921875,0.1318359375,0.1923828125,0.279296875,0.96875
2,overcoat,congruent,3.25,0.2890625,5,0.19921875,0.13671875,0.17578125,0.19921875,0.2890625,0.9609375
2,sandals,congruent,3.046875,0.240234375,1,0.240234375,0.1455078125,0.1875,0.1875,0.240234375,0.953125
2,overcoat,incongruent,3.171875,0.27734375,5,0.2158203125,0.1484375,0.16796875,0.1904296875,0.27734375,0.96484375
2,sandals,incongruent,3.140625,0.26171875,5,0.2314453125,0.12353515625,0.1796875,0.2041015625,0.26171875,0.9375
3,exam,congruent,3.09375,0.228515625,1,0.228515625,0.138671875,0.177734375,0.228515625,0.228515625,0.875
3,marathon,congruent,3.15625,0.25390625,5,0.224609375,0.1201171875,0.1748046875,0.224609375,0.25390625,0.89453125
3,exam,incongruent,3.109375,0.2373046875,1,0.2373046875,0.126953125,0.1630859375,0.2373046875,0.2373046875,0.87890625
3,marathon,incongruent,3.078125,0.2431640625,1,0.2431640625,0.130859375,0.1669921875,0.21484375,0.2431640625,0.9140625
4,menu,congruent,3.09375,0.291015625,5,0.255859375,0.1552734375,0.12109375,0.17578125,0.291015625,0.94921875
4,prescription,congruent,3.078125,0.26953125,5,0.2373046875,0.1630859375,0.14453125,0.185546875,0.26953125,0.9609375
4,menu,incongruent,3.078125,0.28515625,5,0.251953125,0.1533203125,0.134765625,0.173828125,0.28515625,0.95703125
4,prescription,incongruent,3.109375,0.279296875,5,0.2470703125,0.1494140625,0.1318359375,0.1923828125,0.279296875,0.94140625
5,distress,congruent,3.140625,0.267578125,5,0.236328125,0.1259765625,0.162109375,0.2080078125,0.267578125,0.93359375
5,tranquility,congruent,3.046875,0.27734375,1,0.27734375,0.130859375,0.1484375,0.16796875,0.27734375,0.91015625
5,distress,incongruent,3.0,0.283203125,1,0.283203125,0.1181640625,0.15234375,0.1953125,0.25,0.9296875
5,tranquility,incongruent,3.078125,0.259765625,1,0.259765625,0.12255859375,0.1572265625,0.2021484375,0.259765625,0.88671875
6,patients,congruent,3.015625,0.2890625,1,0.2890625,0.12060546875,0.13671875,0.1982421875,0.255859375,0.953125
6,students,congruent,3.109375,0.275390625,1,0.275390625,0.1015625,0.130859375,0.21484375,0.275390625,0.92578125
6,patients,incongruent,3.0,0.30078125,1,0.30078125,0.1103515625,0.1416015625,0.1826171875,0.265625,0.94921875
6,students,incongruent,3.140625,0.26953125,1,0.26953125,0.0986328125,0.126953125,0.2373046875,0.26953125,0.8984375
7,consensus,congruent,3.109375,0.267578125,5,0.236328125,0.162109375,0.1259765625,0.2080078125,0.267578125,0.96875
7,deadlock,congruent,3.109375,0.275390625,5,0.2421875,0.1474609375,0.1474609375,0.1884765625,0.275390625,0.921875
7,consensus,incongruent,3.03125,0.265625,1,0.265625,0.142578125,0.142578125,0.1826171875,0.265625,0.9375
7,deadlock,incongruent,3.078125,0.251953125,5,0.22265625,0.173828125,0.1533203125,0.197265625,0.251953125,0.9609375
8,cancer,congruent,3.0625,0.255859375,1,0.255859375,0.13671875,0.154296875,0.1982421875,0.255859375,0.9609375
8,engagement,congruent,3.15625,0.2734375,5,0.240234375,0.12890625,0.1455078125,0.2119140625,0.2734375,0.9296875
8,cancer,incongruent,3.015625,0.2890625,1,0.2890625,0.12060546875,0.13671875,0.1982421875,0.255859375,0.94921875
8,engagement,incongruent,3.171875,0.265625,5,0.234375,0.125,0.1416015625,0.234375,0.265625,0.9296875
9,classroom,congruent,3.453125,0.318359375,5,0.193359375,0.09130859375,0.1171875,0.28125,0.318359375,0.9453125
9,terminal,congruent,3.375,0.31640625,5,0.19140625,0.1162109375,0.1318359375,0.24609375,0.31640625,0.9609375
