seed,max_accuracy
0,0.51875
1,0.51875
2,0.55
3,0.55
4,0.515625
5,0.525
6,0.55
7,0.525
8,0.609375
9,0.603125
10,0.546875
11,0.540625
12,0.590625
13,0.540625
14,0.53125
15,0.584375
16,0.525
17,0.528125
18,0.584375
19,0.575
20,0.60625
21,0.521875
22,0.521875
23,0.55
24,0.528125
25,0.528125
26,0.515625
27,0.565625
28,0.56875
29,0.54375
30,0.51875
31,0.54375
32,0.53125
33,0.53125
34,0.53125
35,0.5625
36,0.540625
37,0.51875
38,0.603125
39,0.540625
40,0.53125
41,0.5625
42,0.54375
43,0.5625
44,0.565625
45,0.603125
46,0.55625
47,0.515625
48,0.540625
49,0.534375
50,0.534375
51,0.578125
52,0.55
53,0.565625
54,0.565625
55,0.525
56,0.553125
57,0.54375
58,0.546875
59,0.5125
60,0.515625
61,0.53125
62,0.54375
63,0.5625
64,0.559375
65,0.521875
66,0.53125
67,0.546875
68,0.58125
69,0.646875
70,0.525
71,0.5375
72,0.540625
73,0.58125
74,0.590625
75,0.55
76,0.59375
77,0.51875
78,0.559375
79,0.515625
80,0.5125
81,0.5375
82,0.55625
83,0.5125
84,0.515625
85,0.575
86,0.534375
87,0.55625
88,0.534375
89,0.546875
90,0.559375
91,0.5625
92,0.534375
93,0.54375
94,0.546875
95,0.51875
96,0.54375
97,0.528125
98,0.53125
99,0.51875
100,0.5625
101,0.546875
102,0.51875
103,0.603125
104,0.534375
105,0.5625
106,0.55
107,0.571875
108,0.578125
109,0.51875
110,0.590625
111,0.503125
112,0.515625
113,0.534375
114,0.571875
115,0.565625
116,0.5375
117,0.528125
118,0.5375
119,0.53125
120,0.515625
121,0.60625
122,0.528125
123,0.509375
124,0.559375
125,0.53125
126,0.53125
127,0.534375
128,0.5125
129,0.53125
130,0.546875
131,0.51875
132,0.571875
133,0.553125
134,0.5375
135,0.540625
136,0.575
137,0.53125
138,0.55625
139,0.5625
140,0.53125
141,0.51875
142,0.559375
143,0.534375
144,0.5375
145,0.5625
146,0.59375
147,0.584375
148,0.540625
149,0.590625
150,0.528125
151,0.55
152,0.590625
153,0.546875
154,0.521875
155,0.5625
156,0.559375
157,0.571875
158,0.534375
159,0.553125
160,0.540625
161,0.575
162,0.521875
163,0.5875
164,0.51875
165,0.578125
166,0.54375
167,0.5125
168,0.51875
169,0.50625
170,0.540625
171,0.521875
172,0.525
173,0.534375
174,0.51875
175,0.54375
176,0.54375
177,0.540625
178,0.5125
179,0.53125
180,0.5375
181,0.528125
182,0.54375
183,0.55
184,0.571875
185,0.5625
186,0.55
187,0.51875
188,0.571875
189,0.56875
190,0.540625
191,0.5625
192,0.540625
193,0.525
194,0.54375
195,0.5375
196,0.571875
197,0.553125
198,0.53125
199,0.571875
200,0.571875
201,0.5375
202,0.528125
203,0.54375
204,0.55
205,0.521875
206,0.575
207,0.5375
208,0.575
209,0.565625
210,0.509375
211,0.56875
212,0.575
213,0.53125
214,0.575
215,0.528125
216,0.53125
217,0.56875
218,0.578125
219,0.540625
220,0.5375
221,0.521875
222,0.571875
223,0.5125
224,0.571875
225,0.528125
226,0.534375
227,0.534375
228,0.534375
229,0.584375
230,0.565625
231,0.51875
232,0.559375
233,0.534375
234,0.528125
235,0.515625
236,0.53125
237,0.521875
238,0.525
239,0.51875
240,0.528125
241,0.540625
242,0.546875
243,0.534375
244,0.553125
245,0.5125
246,0.540625
247,0.553125
248,0.525
249,0.565625
250,0.55625
251,0.5125
252,0.54375
253,0.559375
254,0.55625
255,0.590625
256,0.509375
257,0.525
258,0.546875
259,0.5375
260,0.5875
261,0.5375
262,0.553125
263,0.571875
264,0.546875
265,0.56875
266,0.528125
267,0.5375
268,0.58125
269,0.534375
270,0.578125
271,0.546875
272,0.590625
273,0.584375
274,0.59375
275,0.540625
276,0.509375
277,0.5375
278,0.55
279,0.55
280,0.525
281,0.515625
282,0.515625
283,0.54375
284,0.553125
285,0.5625
286,0.584375
287,0.540625
288,0.55
289,0.60625
290,0.553125
291,0.534375
292,0.5125
293,0.534375
294,0.559375
295,0.525
296,0.571875
297,0.534375
298,0.55625
299,0.590625
300,0.55625
301,0.521875
302,0.521875
303,0.60625
304,0.55625
305,0.540625
306,0.534375
307,0.528125
308,0.534375
309,0.54375
310,0.525
311,0.628125
312,0.515625
313,0.55
314,0.55
315,0.609375
316,0.546875
317,0.553125
318,0.515625
319,0.590625
320,0.54375
321,0.565625
322,0.5125
323,0.55
324,0.51875
325,0.53125
326,0.571875
327,0.525
328,0.565625
329,0.51875
330,0.53125
331,0.54375
332,0.53125
333,0.5625
334,0.521875
335,0.571875
336,0.553125
337,0.515625
338,0.559375
339,0.55625
340,0.55625
341,0.5625
342,0.53125
343,0.603125
344,0.534375
345,0.546875
346,0.53125
347,0.525
348,0.540625
349,0.553125
350,0.534375
351,0.575
352,0.5375
353,0.528125
354,0.55
355,0.515625
356,0.50625
357,0.53125
358,0.578125
359,0.53125
360,0.53125
361,0.540625
362,0.528125
363,0.540625
364,0.528125
365,0.509375
366,0.571875
367,0.5625
368,0.5625
369,0.596875
370,0.559375
371,0.534375
372,0.521875
373,0.53125
374,0.571875
375,0.521875
376,0.553125
377,0.575
378,0.55625
379,0.559375
380,0.528125
381,0.540625
382,0.575
383,0.534375
384,0.515625
385,0.5375
386,0.5375
387,0.496875
388,0.55
389,0.534375
390,0.534375
391,0.55625
392,0.559375
393,0.578125
394,0.5375
395,0.553125
396,0.54375
397,0.515625
398,0.53125
399,0.5125
400,0.584375
401,0.525
402,0.546875
403,0.559375
404,0.54375
405,0.540625
406,0.51875
407,0.596875
408,0.54375
409,0.559375
410,0.521875
411,0.56875
412,0.578125
413,0.546875
414,0.5375
415,0.565625
416,0.56875
417,0.525
418,0.540625
419,0.521875
420,0.528125
421,0.5625
422,0.5375
423,0.515625
424,0.546875
425,0.54375
426,0.56875
427,0.521875
428,0.55
429,0.51875
430,0.546875
431,0.578125
432,0.546875
433,0.5625
434,0.5625
435,0.54375
436,0.55
437,0.5625
438,0.553125
439,0.54375
440,0.540625
441,0.53125
442,0.528125
443,0.578125
444,0.546875
445,0.5375
446,0.540625
447,0.55
448,0.528125
449,0.55
450,0.546875
451,0.5375
452,0.56875
453,0.578125
454,0.5375
455,0.55
456,0.51875
457,0.54375
458,0.559375
459,0.5375
460,0.5875
461,0.55625
462,0.528125
463,0.528125
464,0.609375
465,0.54375
466,0.515625
467,0.521875
468,0.596875
469,0.5125
470,0.5125
471,0.53125
472,0.540625
473,0.525
474,0.5625
475,0.55
476,0.571875
477,0.525
478,0.578125
479,0.578125
480,0.540625
481,0.515625
482,0.55625
483,0.540625
484,0.54375
485,0.51875
486,0.55
487,0.540625
488,0.509375
489,0.5625
490,0.56875
491,0.51875
492,0.540625
493,0.540625
494,0.50625
495,0.534375
496,0.575
497,0.546875
498,0.521875
499,0.553125
500,0.5625
501,0.646875
502,0.559375
503,0.540625
504,0.5375
505,0.5375
506,0.55
507,0.596875
508,0.534375
509,0.578125
510,0.525
511,0.546875
512,0.528125
513,0.575
514,0.509375
515,0.5625
516,0.503125
517,0.546875
518,0.559375
519,0.525
520,0.54375
521,0.528125
522,0.559375
523,0.540625
524,0.528125
525,0.53125
526,0.525
527,0.559375
528,0.55
529,0.525
530,0.565625
531,0.54375
532,0.55625
533,0.56875
534,0.553125
535,0.540625
536,0.53125
537,0.540625
538,0.528125
539,0.534375
540,0.51875
541,0.559375
542,0.55
543,0.5625
544,0.5375
545,0.521875
546,0.553125
547,0.51875
548,0.553125
549,0.55
550,0.54375
551,0.528125
552,0.525
553,0.53125
554,0.615625
555,0.53125
556,0.571875
557,0.5125
558,0.534375
559,0.575
560,0.56875
561,0.546875
562,0.54375
563,0.54375
564,0.559375
565,0.55625
566,0.540625
567,0.571875
568,0.5375
569,0.534375
570,0.575
571,0.546875
572,0.528125
573,0.578125
574,0.53125
575,0.525
576,0.575
577,0.521875
578,0.54375
579,0.590625
580,0.51875
581,0.54375
582,0.528125
583,0.528125
584,0.565625
585,0.55625
586,0.509375
587,0.5375
588,0.534375
589,0.521875
590,0.565625
591,0.559375
592,0.5875
593,0.553125
594,0.53125
595,0.534375
596,0.540625
597,0.546875
598,0.54375
599,0.5625
600,0.515625
601,0.575
602,0.571875
603,0.521875
604,0.53125
605,0.54375
606,0.53125
607,0.528125
608,0.51875
609,0.521875
610,0.56875
611,0.540625
612,0.571875
613,0.525
614,0.51875
615,0.565625
616,0.5125
617,0.571875
618,0.553125
619,0.525
620,0.546875
621,0.53125
622,0.521875
623,0.51875
624,0.55625
625,0.559375
626,0.56875
627,0.546875
628,0.559375
629,0.59375
630,0.5375
631,0.55
632,0.53125
633,0.525
634,0.584375
635,0.54375
636,0.528125
637,0.546875
638,0.534375
639,0.540625
640,0.51875
641,0.540625
642,0.534375
643,0.521875
644,0.51875
645,0.5625
646,0.528125
647,0.571875
648,0.51875
649,0.528125
650,0.525
651,0.540625
652,0.528125
653,0.521875
654,0.53125
655,0.521875
656,0.5625
657,0.59375
658,0.53125
659,0.5375
660,0.521875
661,0.528125
662,0.54375
663,0.51875
664,0.53125
665,0.571875
666,0.58125
667,0.575
668,0.54375
669,0.55
670,0.515625
671,0.521875
672,0.515625
673,0.534375
674,0.590625
675,0.559375
676,0.53125
677,0.55
678,0.528125
679,0.5125
680,0.553125
681,0.525
682,0.5125
683,0.5625
684,0.54375
685,0.559375
686,0.590625
687,0.525
688,0.58125
689,0.515625
690,0.53125
691,0.546875
692,0.534375
693,0.575
694,0.55
695,0.584375
696,0.509375
697,0.565625
698,0.5625
699,0.55625
700,0.56875
701,0.5
702,0.521875
703,0.590625
704,0.5625
705,0.5375
706,0.546875
707,0.5125
708,0.521875
709,0.515625
710,0.540625
711,0.51875
712,0.53125
713,0.5875
714,0.53125
715,0.55625
716,0.590625
717,0.5375
718,0.5125
719,0.534375
720,0.509375
721,0.5375
722,0.525
723,0.56875
724,0.559375
725,0.58125
726,0.55
727,0.5625
728,0.559375
729,0.55625
730,0.51875
731,0.575
732,0.534375
733,0.50625
734,0.54375
735,0.55625
736,0.528125
737,0.525
738,0.546875
739,0.5375
740,0.521875
741,0.59375
742,0.54375
743,0.528125
744,0.5375
745,0.5375
746,0.528125
747,0.5375
748,0.55625
749,0.5375
750,0.571875
751,0.534375
752,0.5625
753,0.55
754,0.5375
755,0.540625
756,0.540625
757,0.6
758,0.51875
759,0.571875
760,0.525
761,0.534375
762,0.540625
763,0.51875
764,0.553125
765,0.521875
766,0.5125
767,0.509375
768,0.5625
769,0.534375
770,0.534375
771,0.540625
772,0.534375
773,0.571875
774,0.55
775,0.55625
776,0.584375
777,0.559375
778,0.534375
779,0.5375
780,0.571875
781,0.521875
782,0.525
783,0.521875
784,0.55
785,0.521875
786,0.5375
787,0.521875
788,0.5875
789,0.55625
790,0.534375
791,0.553125
792,0.534375
793,0.553125
794,0.55625
795,0.553125
796,0.553125
797,0.5375
798,0.546875
799,0.575
800,0.53125
801,0.6
802,0.590625
803,0.528125
804,0.525
805,0.53125
806,0.565625
807,0.53125
808,0.565625
809,0.53125
810,0.534375
811,0.56875
812,0.553125
813,0.525
814,0.56875
815,0.534375
816,0.55625
817,0.54375
818,0.5625
819,0.5125
820,0.546875
821,0.590625
822,0.540625
823,0.546875
824,0.5125
825,0.553125
826,0.534375
827,0.525
828,0.515625
829,0.540625
830,0.521875
831,0.55
832,0.53125
833,0.578125
