layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.525,0.5125,0.5375
1,0.515625,0.48125,0.55
2,0.521875,0.45,0.59375
3,0.615625,0.5875,0.64375
4,0.65625,0.625,0.6875
5,0.8375,0.85625,0.81875
6,0.8375,0.85625,0.81875
7,0.809375,0.84375,0.775
8,0.85625,0.88125,0.83125
9,0.884375,0.90625,0.8625
10,0.86875,0.88125,0.85625
11,0.88125,0.88125,0.88125
12,0.8875,0.88125,0.89375
13,0.9,0.9,0.9
14,0.915625,0.91875,0.9125
15,0.934375,0.95625,0.9125
16,0.9375,0.95,0.925
17,0.95625,0.95625,0.95625
18,0.940625,0.95,0.93125
19,0.9375,0.94375,0.93125
20,0.91875,0.9125,0.925
21,0.91875,0.90625,0.93125
22,0.925,0.91875,0.93125
23,0.9125,0.90625,0.91875
24,0.896875,0.8875,0.90625
25,0.875,0.875,0.875
26,0.865625,0.875,0.85625
27,0.83125,0.83125,0.83125
