item_index,image_word,condition,rating,max_probability,top_one_token,p1,p2,p3,p4,p5,total_probability_mass
0,library,congruent,3.453125,0.392578125,4,0.060302734375,0.14453125,0.23828125,0.392578125,0.1640625,0.99609375
0,refrigerator,congruent,3.09375,0.28125,3,0.10302734375,0.21875,0.28125,0.28125,0.1171875,0.99609375
0,library,incongruent,2.59375,0.296875,2,0.205078125,0.296875,0.263671875,0.1591796875,0.0751953125,0.99609375
0,refrigerator,incongruent,2.90625,0.263671875,3,0.16015625,0.2333984375,0.263671875,0.2333984375,0.10986328125,0.9921875
1,delight,congruent,3.9375,0.47265625,4,0.0302734375,0.056396484375,0.1533203125,0.47265625,0.287109375,1.0
1,disappointment,congruent,2.84375,0.28125,2,0.150390625,0.28125,0.248046875,0.21875,0.10302734375,0.99609375
1,delight,incongruent,2.484375,0.333984375,2,0.23046875,0.333984375,0.23046875,0.1396484375,0.06591796875,1.0
1,disappointment,incongruent,3.203125,0.263671875,4,0.1416015625,0.181640625,0.2060546875,0.263671875,0.2060546875,0.99609375
2,overcoat,congruent,3.328125,0.296875,4,0.109375,0.1591796875,0.2314453125,0.296875,0.2041015625,0.99609375
2,sandals,congruent,3.15625,0.2255859375,4,0.17578125,0.17578125,0.19921875,0.2255859375,0.2255859375,0.99609375
2,overcoat,incongruent,1.546875,0.65625,1,0.65625,0.212890625,0.07861328125,0.02880859375,0.0224609375,0.9921875
2,sandals,incongruent,2.046875,0.447265625,1,0.447265625,0.271484375,0.1455078125,0.068359375,0.068359375,0.9921875
3,exam,congruent,3.234375,0.33203125,4,0.0947265625,0.177734375,0.2578125,0.33203125,0.1376953125,0.99609375
3,marathon,congruent,3.375,0.3671875,4,0.072265625,0.1533203125,0.251953125,0.3671875,0.1533203125,1.0
3,exam,incongruent,2.6875,0.2578125,2,0.228515625,0.2578125,0.228515625,0.177734375,0.10791015625,0.99609375
3,marathon,incongruent,2.625,0.267578125,2,0.236328125,0.267578125,0.236328125,0.162109375,0.09814453125,0.99609375
4,menu,congruent,3.015625,0.265625,4,0.2060546875,0.1611328125,0.2060546875,0.265625,0.1611328125,0.9921875
4,prescription,congruent,3.46875,0.400390625,4,0.08935546875,0.1298828125,0.189453125,0.400390625,0.189453125,1.0
4,menu,incongruent,2.703125,0.283203125,1,0.283203125,0.1943359375,0.1943359375,0.1943359375,0.1337890625,0.9921875
