layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.559375,0.56875,0.55
1,0.59375,0.58125,0.60625
2,0.665625,0.6875,0.64375
3,0.753125,0.75,0.75625
4,0.746875,0.75625,0.7375
5,0.796875,0.775,0.81875
6,0.859375,0.8625,0.85625
7,0.88125,0.9125,0.85
8,0.8875,0.9,0.875
9,0.90625,0.90625,0.90625
10,0.940625,0.94375,0.9375
11,0.940625,0.95,0.93125
12,0.9375,0.95,0.925
13,0.940625,0.95,0.93125
14,0.925,0.925,0.925
15,0.921875,0.9125,0.93125
16,0.925,0.91875,0.93125
17,0.9125,0.9125,0.9125
18,0.9,0.9,0.9
19,0.90625,0.8875,0.925
20,0.9,0.89375,0.90625
21,0.909375,0.89375,0.925
22,0.884375,0.875,0.89375
23,0.875,0.86875,0.88125
24,0.875,0.86875,0.88125
25,0.878125,0.88125,0.875
26,0.86875,0.875,0.8625
27,0.840625,0.84375,0.8375
