layer_index,all_accuracy,threshold_95,maxstat_p,exceeds_95th_percentile
0,0.559375,0.578125,0.16883116883116883,False
1,0.59375,0.578125,0.02097902097902098,True
2,0.665625,0.578125,0.000999000999000999,True
3,0.753125,0.578125,0.000999000999000999,True
4,0.746875,0.578125,0.000999000999000999,True
5,0.796875,0.578125,0.000999000999000999,True
6,0.859375,0.578125,0.000999000999000999,True
7,0.88125,0.578125,0.000999000999000999,True
8,0.8875,0.578125,0.000999000999000999,True
9,0.90625,0.578125,0.000999000999000999,True
10,0.940625,0.578125,0.000999000999000999,True
11,0.940625,0.578125,0.000999000999000999,True
12,0.9375,0.578125,0.000999000999000999,True
13,0.940625,0.578125,0.000999000999000999,True
14,0.925,0.578125,0.000999000999000999,True
15,0.921875,0.578125,0.000999000999000999,True
16,0.925,0.578125,0.000999000999000999,True
17,0.9125,0.578125,0.000999000999000999,True
18,0.9,0.578125,0.000999000999000999,True
19,0.90625,0.578125,0.000999000999000999,True
20,0.9,0.578125,0.000999000999000999,True
21,0.909375,0.578125,0.000999000999000999,True
22,0.884375,0.578125,0.000999000999000999,True
23,0.875,0.578125,0.000999000999000999,True
24,0.875,0.578125,0.000999000999000999,True
25,0.878125,0.578125,0.000999000999000999,True
26,0.86875,0.578125,0.000999000999000999,True
27,0.840625,0.578125,0.000999000999000999,True
