layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.6534450371200762,0.1006737971835666,8.5429325108408e-11,8.5429325108408e-11,True
1,0.7439003948072982,0.10645246775683041,2.786355438336609e-12,2.8762378718313383e-12,True
2,0.937367774665989,0.1049818386090734,4.304346852653583e-19,4.591303309497155e-19,True
3,1.1498472515261533,0.06313771223256691,4.165390952344676e-74,4.5962934646561945e-74,True
4,1.1859634973029696,0.061671393302180404,2.0616594983264532e-82,2.3561822838016608e-82,True
5,1.2521433917701954,0.05916408082616108,2.054500114821288e-99,2.4349630990474522e-99,True
6,1.3302730396885114,0.04789048072266014,8.135068853456363e-170,1.0012392435023216e-169,True
7,1.3042566824779473,0.04136987518499114,3.738639937607939e-218,4.785459120138162e-218,True
8,1.3490328538065375,0.0361901832074087,3.987255194549117e-304,5.547485488068337e-304,True
9,1.3553229192959004,0.03606564623064578,4.677284079307916e-309,6.80332229717515e-309,True
10,1.3667561025872073,0.028582007805322444,0.0,0.0,True
11,1.358828193323966,0.027653050185888928,0.0,0.0,True
12,1.356294416301395,0.028188700985967974,0.0,0.0,True
13,1.3600428099921151,0.027400706203249945,0.0,0.0,True
14,1.3593034913237074,0.0281444793700277,0.0,0.0,True
15,1.3621251968013397,0.02688410428900817,0.0,0.0,True
16,1.361834771904336,0.026158926159553255,0.0,0.0,True
17,1.3662152844398665,0.02633902589958091,0.0,0.0,True
18,1.3677170907188145,0.025775107949403606,0.0,0.0,True
19,1.3676998185829667,0.026351109507720887,0.0,0.0,True
20,1.3713170701689266,0.02652244755636865,0.0,0.0,True
21,1.3745808207003383,0.027171938149007535,0.0,0.0,True
22,1.3769939814992291,0.027660406559164227,0.0,0.0,True
23,1.3828465758461672,0.02896031935657638,0.0,0.0,True
24,1.3873368151211536,0.02955371258335965,0.0,0.0,True
25,1.3839855650404913,0.03007749917910027,0.0,0.0,True
26,1.3864630887252392,0.030797017197508006,0.0,0.0,True
27,1.3806077919265218,0.030266491560159987,0.0,0.0,True
28,1.379203575735311,0.031441966089540946,0.0,0.0,True
29,1.385666117532113,0.03256431029430523,0.0,0.0,True
30,1.392148190416939,0.03505205719231104,0.0,0.0,True
31,1.3842121133304695,0.03776743426975278,4.420269485370949e-294,5.8936926471612654e-294,True
