seed,max_accuracy
0,0.51875
1,0.528125
2,0.540625
3,0.55625
4,0.509375
5,0.525
6,0.534375
7,0.540625
8,0.59375
9,0.575
10,0.578125
11,0.525
12,0.55625
13,0.521875
14,0.528125
15,0.565625
16,0.525
17,0.53125
18,0.571875
19,0.51875
20,0.578125
21,0.509375
22,0.525
23,0.540625
24,0.559375
25,0.528125
26,0.540625
27,0.553125
28,0.55
29,0.528125
30,0.496875
31,0.578125
32,0.51875
33,0.559375
34,0.528125
35,0.571875
36,0.525
37,0.540625
38,0.6
39,0.54375
40,0.509375
41,0.56875
42,0.54375
43,0.546875
44,0.540625
45,0.5875
46,0.559375
47,0.528125
48,0.525
49,0.525
50,0.515625
51,0.55625
52,0.53125
53,0.540625
54,0.553125
55,0.5125
56,0.553125
57,0.5375
58,0.528125
59,0.5125
60,0.521875
61,0.540625
62,0.521875
63,0.55
64,0.571875
65,0.503125
66,0.55625
67,0.55625
68,0.5625
69,0.59375
70,0.540625
71,0.571875
72,0.55
73,0.571875
74,0.559375
75,0.5375
76,0.5625
77,0.546875
78,0.553125
79,0.515625
80,0.515625
81,0.503125
82,0.53125
83,0.5
84,0.50625
85,0.575
86,0.515625
87,0.53125
88,0.50625
89,0.5625
90,0.540625
91,0.528125
92,0.515625
93,0.5375
94,0.53125
95,0.5125
96,0.528125
97,0.509375
98,0.540625
99,0.53125
100,0.55625
101,0.546875
102,0.49375
103,0.559375
104,0.53125
105,0.546875
106,0.525
107,0.58125
108,0.55
109,0.515625
110,0.5375
111,0.49375
112,0.51875
113,0.54375
114,0.55
115,0.540625
116,0.559375
117,0.525
118,0.525
119,0.546875
120,0.525
121,0.540625
122,0.528125
123,0.521875
124,0.578125
125,0.5625
126,0.51875
127,0.53125
128,0.50625
129,0.528125
130,0.55
131,0.509375
132,0.565625
133,0.5375
134,0.5375
135,0.553125
136,0.559375
137,0.5375
138,0.559375
139,0.584375
140,0.559375
141,0.53125
142,0.55625
143,0.515625
144,0.53125
145,0.5375
146,0.553125
147,0.58125
148,0.525
149,0.553125
150,0.53125
151,0.53125
152,0.578125
153,0.53125
154,0.51875
155,0.53125
156,0.540625
157,0.55
158,0.521875
159,0.571875
160,0.54375
161,0.559375
162,0.534375
163,0.565625
164,0.509375
165,0.5625
166,0.51875
167,0.521875
168,0.528125
169,0.5
170,0.521875
171,0.553125
172,0.53125
173,0.54375
174,0.528125
175,0.546875
176,0.525
177,0.5125
178,0.521875
179,0.515625
180,0.525
181,0.540625
182,0.515625
183,0.553125
184,0.584375
185,0.55
186,0.540625
187,0.509375
188,0.54375
189,0.525
190,0.53125
191,0.559375
192,0.521875
193,0.525
194,0.55625
195,0.503125
196,0.571875
197,0.5625
198,0.55625
199,0.578125
200,0.590625
201,0.528125
202,0.528125
203,0.55
204,0.54375
205,0.5125
206,0.596875
207,0.553125
208,0.578125
209,0.559375
210,0.525
211,0.559375
212,0.575
213,0.53125
214,0.528125
215,0.515625
216,0.540625
217,0.528125
218,0.56875
219,0.51875
220,0.528125
221,0.503125
222,0.553125
223,0.51875
224,0.58125
225,0.53125
226,0.51875
227,0.521875
228,0.515625
229,0.58125
230,0.571875
231,0.50625
232,0.5875
233,0.5375
234,0.525
235,0.515625
236,0.503125
237,0.559375
238,0.525
239,0.53125
240,0.50625
241,0.553125
242,0.553125
243,0.521875
244,0.5625
245,0.509375
246,0.5375
247,0.5375
248,0.515625
249,0.546875
250,0.559375
251,0.5
252,0.55
253,0.55
254,0.54375
255,0.565625
256,0.5
257,0.5125
258,0.546875
259,0.546875
260,0.55
261,0.553125
262,0.54375
263,0.55
264,0.5625
265,0.553125
266,0.53125
267,0.55
268,0.5875
269,0.55
270,0.559375
271,0.55625
272,0.571875
273,0.5875
274,0.540625
275,0.534375
276,0.51875
277,0.540625
278,0.521875
279,0.575
280,0.521875
281,0.503125
282,0.5125
283,0.534375
284,0.565625
285,0.515625
286,0.553125
287,0.5125
288,0.553125
289,0.5875
290,0.540625
291,0.509375
292,0.496875
293,0.528125
294,0.528125
295,0.540625
296,0.540625
297,0.528125
298,0.521875
299,0.58125
300,0.5625
301,0.50625
302,0.53125
303,0.584375
304,0.55
305,0.509375
306,0.521875
307,0.5375
308,0.521875
309,0.5375
310,0.525
311,0.64375
312,0.50625
313,0.546875
314,0.546875
315,0.596875
316,0.553125
317,0.5625
318,0.515625
319,0.540625
320,0.54375
321,0.534375
322,0.525
323,0.5375
324,0.521875
325,0.525
326,0.55625
327,0.509375
328,0.5625
329,0.5125
330,0.528125
331,0.528125
332,0.553125
333,0.55
334,0.521875
335,0.60625
