layer_index,item_index,image_word,condition,pass,probability_congruent
0,0,library,congruent,❌,0.353525777823327
0,0,refrigerator,congruent,✅,0.6636148138834653
0,0,library,incongruent,✅,0.4396218510974856
0,0,refrigerator,incongruent,✅,0.278362375537432
0,1,disappointment,congruent,❌,0.49278376055526724
0,1,delight,congruent,❌,0.2849392188994318
0,1,disappointment,incongruent,✅,0.2646282236792451
0,1,delight,incongruent,❌,0.5177951663154289
0,10,cash,congruent,❌,0.2863100690457771
0,10,groceries,congruent,✅,0.7688441297429202
0,10,cash,incongruent,❌,0.716621580070415
0,10,groceries,incongruent,✅,0.1745958949370371
0,11,lonely,congruent,✅,0.6450199415477554
0,11,confident,congruent,✅,0.8663456378945065
0,11,lonely,incongruent,❌,0.7882130574786977
0,11,confident,incongruent,❌,0.5809549558474963
0,12,joy,congruent,❌,0.410576306550051
0,12,outrage,congruent,❌,0.3365121317369871
0,12,joy,incongruent,✅,0.28515422957092806
0,12,outrage,incongruent,✅,0.1885191838199156
0,13,traffic,congruent,✅,0.9339269930394274
0,13,snowstorm,congruent,✅,0.8375375221929771
0,13,traffic,incongruent,❌,0.8176754846232349
0,13,snowstorm,incongruent,❌,0.9384611960008651
0,14,laughter,congruent,❌,0.408775448134474
0,14,frustration,congruent,✅,0.8002616909692502
0,14,laughter,incongruent,❌,0.7764167192711522
0,14,frustration,incongruent,✅,0.41997360934757105
0,15,calculator,congruent,❌,0.4341109674048223
0,15,instrument,congruent,✅,0.6390076630211575
0,15,calculator,incongruent,❌,0.5048597674350019
0,15,instrument,incongruent,✅,0.3148955699172116
0,16,orchestra,congruent,❌,0.49201496347383505
0,16,racers,congruent,✅,0.7796417238624787
0,16,orchestra,incongruent,❌,0.7013806654061399
0,16,racers,incongruent,✅,0.3354430142602791
0,17,retirement,congruent,✅,0.5274777970935738
0,17,playdate,congruent,❌,0.28301121451863376
0,17,retirement,incongruent,✅,0.28196821138214534
0,17,playdate,incongruent,✅,0.4866587028316927
0,18,relieved,congruent,❌,0.3266794686858097
0,18,depressed,congruent,❌,0.16398339053294309
0,18,relieved,incongruent,✅,0.24501985280934777
0,18,depressed,incongruent,✅,0.3482653609040176
0,19,friends,congruent,✅,0.5330478569493207
0,19,weight,congruent,❌,0.27416444456546246
0,19,friends,incongruent,✅,0.23227886411651782
0,19,weight,incongruent,✅,0.48396451914830557
0,2,overcoat,congruent,✅,0.6458916182791135
0,2,sandals,congruent,✅,0.8405298744010076
0,2,overcoat,incongruent,❌,0.7084405594272195
0,2,sandals,incongruent,❌,0.6580833470385482
0,20,lipstick,congruent,✅,0.8799734655473579
0,20,song,congruent,❌,0.43231263210203286
0,20,lipstick,incongruent,✅,0.054119558011841026
0,20,song,incongruent,❌,0.8210786648728863
0,21,fought,congruent,❌,0.06656506513567781
0,21,sang,congruent,✅,0.6379840319118377
0,21,fought,incongruent,✅,0.44490146984286355
0,21,sang,incongruent,✅,0.0992227165927991
0,22,skeptical,congruent,❌,0.28197631352676095
0,22,reassured,congruent,❌,0.30916375653411754
0,22,skeptical,incongruent,✅,0.3096805672060734
0,22,reassured,incongruent,✅,0.28803155370266287
0,23,graduation,congruent,✅,0.5523764441054504
0,23,operation,congruent,❌,0.2351606521443169
0,23,graduation,incongruent,✅,0.1500807301545963
0,23,operation,incongruent,❌,0.6299760438759255
0,24,bride,congruent,✅,0.6303071235477031
0,24,aftermath,congruent,✅,0.7550953966374376
0,24,bride,incongruent,❌,0.5780719013351633
0,24,aftermath,incongruent,✅,0.20601487655022818
0,25,teacher,congruent,❌,0.40984187544474987
0,25,daughter,congruent,✅,0.512061212858616
0,25,teacher,incongruent,❌,0.6070037019909125
0,25,daughter,incongruent,✅,0.20214275901312093
0,26,roommate,congruent,✅,0.5195102089160789
0,26,grandma,congruent,✅,0.676319114936362
0,26,roommate,incongruent,❌,0.6755799644755841
0,26,grandma,incongruent,✅,0.3454759801709764
0,27,brother,congruent,❌,0.29366328209588716
0,27,mother,congruent,✅,0.6471646011709147
0,27,brother,incongruent,❌,0.50151530435525
0,27,mother,incongruent,✅,0.352432664287282
0,28,preschool,congruent,✅,0.5488099896055407
0,28,prison,congruent,✅,0.7605415185376795
0,28,preschool,incongruent,❌,0.5323967673101627
0,28,prison,incongruent,✅,0.31448627156680803
0,29,hopeful,congruent,❌,0.30626092701740715
0,29,hopeless,congruent,❌,0.30346059423954413
0,29,hopeful,incongruent,✅,0.25005335086764624
0,29,hopeless,incongruent,✅,0.3380223356821427
0,3,marathon,congruent,✅,0.7254545024718609
0,3,exam,congruent,✅,0.7584538706293247
0,3,marathon,incongruent,✅,0.45038880855027574
0,3,exam,incongruent,❌,0.548082040004465
0,30,appalled,congruent,✅,0.6874765739395161
0,30,overjoyed,congruent,✅,0.5376610436850636
0,30,appalled,incongruent,❌,0.5485749626565606
0,30,overjoyed,incongruent,❌,0.6816472964258908
0,31,reprimand,congruent,❌,0.48234376599683976
0,31,encouragement,congruent,✅,0.5010332389143457
0,31,reprimand,incongruent,✅,0.4623865239692355
0,31,encouragement,incongruent,✅,0.4821072092566269
0,32,angrily,congruent,✅,0.6802404794728345
0,32,cordially,congruent,❌,0.39256516964063937
0,32,angrily,incongruent,✅,0.37770341307903343
0,32,cordially,incongruent,❌,0.6598476259512198
0,33,accusatory,congruent,❌,0.4728342892785835
0,33,flirtatious,congruent,✅,0.8164628148770329
0,33,accusatory,incongruent,❌,0.8232955653446631
0,33,flirtatious,incongruent,✅,0.45683937462193386
0,34,disapprovingly,congruent,✅,0.599984094994201
0,34,lovingly,congruent,✅,0.5243197842932663
0,34,disapprovingly,incongruent,❌,0.5180019267250007
0,34,lovingly,incongruent,❌,0.5973326264088652
0,35,playful,congruent,✅,0.7125976222741929
0,35,distant,congruent,❌,0.0818719738296108
0,35,playful,incongruent,✅,0.10960465950502425
0,35,distant,incongruent,❌,0.7903272124683971
0,36,headphones,congruent,✅,0.6113273655540667
0,36,mangoes,congruent,❌,0.38949354512272766
0,36,headphones,incongruent,✅,0.21400931859652086
0,36,mangoes,incongruent,✅,0.34655232038976863
0,37,playroom,congruent,❌,0.3360701942747148
0,37,park,congruent,✅,0.5198344406668052
0,37,playroom,incongruent,✅,0.37998118297169553
0,37,park,incongruent,✅,0.2674407600528992
0,38,bedroom,congruent,✅,0.7982652437417992
0,38,backyard,congruent,✅,0.7002434312179336
0,38,bedroom,incongruent,❌,0.5228008334636474
0,38,backyard,incongruent,❌,0.6595296105192016
0,39,solemnly,congruent,✅,0.5642228714284573
0,39,excitedly,congruent,❌,0.4905255001113747
0,39,solemnly,incongruent,✅,0.49530697013538344
0,39,excitedly,incongruent,❌,0.5778513732332149
0,4,menu,congruent,❌,0.07386416576620199
0,4,prescription,congruent,❌,0.4653404734271776
0,4,menu,incongruent,✅,0.31119998444428665
0,4,prescription,incongruent,✅,0.270664902120918
0,40,car,congruent,❌,0.43282311714793714
0,40,sock,congruent,✅,0.6419223548051558
0,40,car,incongruent,❌,0.595139231099255
0,40,sock,incongruent,✅,0.2407514173584064
0,41,overdressed,congruent,❌,0.394519385555661
0,41,naked,congruent,❌,0.4384123950486547
0,41,overdressed,incongruent,✅,0.3007219845446088
0,41,naked,incongruent,✅,0.3426672704581776
0,42,shy,congruent,❌,0.4054350520245462
0,42,lively,congruent,✅,0.8439919999244467
0,42,shy,incongruent,❌,0.7207181393806426
0,42,lively,incongruent,✅,0.3291206892992405
