layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.7439415030485335,0.12057484688816672,6.830898808320052e-10,6.830898808320052e-10,True
1,0.9899676286616097,0.10976939576828414,1.9048677211971755e-19,1.9754183775378115e-19,True
2,1.2101564774738804,0.04705877951633269,7.7723164963713305e-146,8.70499447593589e-146,True
3,1.21384151153446,0.044603902016246824,4.460003967618222e-163,5.676368686059555e-163,True
4,1.1969407707878226,0.046399656111805535,9.749405183231697e-147,1.1868841092629893e-146,True
5,1.191291987829585,0.05373327188847328,6.621281149269147e-109,7.130610468443697e-109,True
6,1.313770551955484,0.045031008072691836,4.0500659609526553e-187,5.670092345333717e-187,True
7,1.3361271121221363,0.04050424701827013,1.2340832197524877e-238,1.8186489554247186e-238,True
8,1.3365533577310844,0.0361103381921853,7.065386306185978e-300,1.0990600920733743e-299,True
9,1.365726206826614,0.03165068257305333,0.0,0.0,True
10,1.3719907414590478,0.03254742525655437,0.0,0.0,True
11,1.3707975329614548,0.027306313404313037,0.0,0.0,True
12,1.3584535914084401,0.027522943537034623,0.0,0.0,True
13,1.362299283962448,0.026399451378011314,0.0,0.0,True
14,1.3576155246411818,0.02623889276730458,0.0,0.0,True
15,1.3621755180040265,0.02544299858512272,0.0,0.0,True
16,1.3680516487002337,0.02510027869264899,0.0,0.0,True
17,1.3662613905251515,0.02565465048882179,0.0,0.0,True
18,1.3699880075574844,0.02576176437203085,0.0,0.0,True
19,1.3794370722300373,0.027832338577413043,0.0,0.0,True
20,1.3834262997090438,0.029458037249332113,0.0,0.0,True
21,1.3825931532573086,0.031050979607018164,0.0,0.0,True
22,1.3887501310784622,0.030593004849234436,0.0,0.0,True
23,1.3922772570015751,0.03139860585997797,0.0,0.0,True
24,1.3818229035662384,0.03290990561097863,0.0,0.0,True
25,1.3741521190675143,0.03428017927885488,0.0,0.0,True
26,1.3700306812090166,0.04986312618156921,3.414884021831249e-166,4.5531786957749984e-166,True
27,1.3399885696901623,0.05201848685171057,2.5000301736006984e-146,2.916701869200815e-146,True
