layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.5875,0.5375,0.6375
1,0.625,0.63125,0.61875
2,0.7875,0.7625,0.8125
3,0.784375,0.7875,0.78125
4,0.784375,0.76875,0.8
5,0.796875,0.7875,0.80625
6,0.81875,0.8,0.8375
7,0.84375,0.825,0.8625
8,0.875,0.90625,0.84375
9,0.909375,0.925,0.89375
10,0.896875,0.93125,0.8625
11,0.946875,0.94375,0.95
12,0.940625,0.95,0.93125
13,0.946875,0.95,0.94375
14,0.95625,0.95625,0.95625
15,0.953125,0.9375,0.96875
16,0.953125,0.94375,0.9625
17,0.946875,0.9375,0.95625
18,0.93125,0.91875,0.94375
19,0.921875,0.91875,0.925
20,0.915625,0.9,0.93125
21,0.9125,0.9,0.925
22,0.890625,0.8875,0.89375
23,0.90625,0.9,0.9125
24,0.896875,0.89375,0.9
25,0.884375,0.86875,0.9
26,0.85,0.8625,0.8375
27,0.84375,0.85625,0.83125
