layer_index,all_accuracy,threshold_95,maxstat_p,exceeds_95th_percentile
0,0.5875,0.58125,0.03996003996003996,True
1,0.625,0.58125,0.000999000999000999,True
2,0.7875,0.58125,0.000999000999000999,True
3,0.784375,0.58125,0.000999000999000999,True
4,0.784375,0.58125,0.000999000999000999,True
5,0.796875,0.58125,0.000999000999000999,True
6,0.81875,0.58125,0.000999000999000999,True
7,0.84375,0.58125,0.000999000999000999,True
8,0.875,0.58125,0.000999000999000999,True
9,0.909375,0.58125,0.000999000999000999,True
10,0.896875,0.58125,0.000999000999000999,True
11,0.946875,0.58125,0.000999000999000999,True
12,0.940625,0.58125,0.000999000999000999,True
13,0.946875,0.58125,0.000999000999000999,True
14,0.95625,0.58125,0.000999000999000999,True
15,0.953125,0.58125,0.000999000999000999,True
16,0.953125,0.58125,0.000999000999000999,True
17,0.946875,0.58125,0.000999000999000999,True
18,0.93125,0.58125,0.000999000999000999,True
19,0.921875,0.58125,0.000999000999000999,True
20,0.915625,0.58125,0.000999000999000999,True
21,0.9125,0.58125,0.000999000999000999,True
22,0.890625,0.58125,0.000999000999000999,True
23,0.90625,0.58125,0.000999000999000999,True
24,0.896875,0.58125,0.000999000999000999,True
25,0.884375,0.58125,0.000999000999000999,True
26,0.85,0.58125,0.000999000999000999,True
27,0.84375,0.58125,0.000999000999000999,True
