layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.34326654999495815,0.07836864278795727,1.1859667408902501e-05,1.2112000758028087e-05,True
1,0.37623724934236374,0.09925749389051008,0.0001503338510798437,0.0001503338510798437,True
2,1.0843402472875445,0.06158282876700466,2.1449605856950542e-69,2.339957002576423e-69,True
3,1.0380249110191397,0.07623479613570078,3.2102357896155997e-42,3.349811258729321e-42,True
4,1.0814686964833058,0.06661307721509215,2.8487220319035443e-59,3.038636834030447e-59,True
5,1.2164030965742667,0.04466390672939372,2.530347333935737e-163,2.824573768114311e-163,True
6,1.233692515369766,0.04256999473073055,1.1644911537087157e-184,1.3633067165370332e-184,True
7,1.2539514153967999,0.04358650332503998,5.2020028382688614e-182,5.9451461008786986e-182,True
8,1.3269458879213678,0.03922927356623709,8.348859266062141e-251,1.0018631119274569e-250,True
9,1.3053050594721662,0.038329531435513424,3.444628142515703e-254,4.239542329250096e-254,True
10,1.3625403131767366,0.03129025487905062,0.0,0.0,True
11,1.3562346264740248,0.029851760058895654,0.0,0.0,True
12,1.3557736362699366,0.03114238921306239,0.0,0.0,True
13,1.3607923964078847,0.03070187409129369,0.0,0.0,True
14,1.3590528465913905,0.030791669095369574,0.0,0.0,True
15,1.3574654645692628,0.031069562469970474,0.0,0.0,True
16,1.3636362089688572,0.03144063538686385,0.0,0.0,True
17,1.364700702310388,0.03144446449526502,0.0,0.0,True
18,1.3650514953781072,0.031738061160816795,0.0,0.0,True
19,1.3557187869266618,0.03252196566212128,0.0,0.0,True
20,1.3624903677674836,0.03314353601184173,0.0,0.0,True
21,1.3673244248749927,0.031514945078459075,0.0,0.0,True
22,1.3603134967914565,0.027464724210434728,0.0,0.0,True
23,1.3653506446809247,0.025999312475321737,0.0,0.0,True
24,1.3640405325523952,0.025541417975722795,0.0,0.0,True
25,1.3684285237123794,0.02528869472956616,0.0,0.0,True
26,1.3680634440995847,0.02594999116786732,0.0,0.0,True
27,1.3686002799686672,0.025957045009573725,0.0,0.0,True
28,1.3712065308336348,0.025642177906083967,0.0,0.0,True
29,1.3688706026444124,0.025928723495903996,0.0,0.0,True
30,1.3714371244293826,0.025960068553258418,0.0,0.0,True
31,1.3722129464358308,0.02577376887373433,0.0,0.0,True
32,1.3679001910281618,0.025862073695549954,0.0,0.0,True
33,1.3654771367801921,0.025485729646523785,0.0,0.0,True
34,1.361546833231544,0.025818751269414315,0.0,0.0,True
35,1.363193716628923,0.025610221485965652,0.0,0.0,True
36,1.3602913799217076,0.026263216063707812,0.0,0.0,True
37,1.3612456884743835,0.025119868573215094,0.0,0.0,True
38,1.3626171859099616,0.024761314832402775,0.0,0.0,True
39,1.3637235737186422,0.024659290878727206,0.0,0.0,True
40,1.364907622668212,0.02521072647485328,0.0,0.0,True
41,1.3617190592849462,0.024807046868085183,0.0,0.0,True
42,1.3623831862910043,0.026197788062361862,0.0,0.0,True
43,1.3624754191464907,0.026061536032166634,0.0,0.0,True
44,1.3680865947854928,0.02662243672180807,0.0,0.0,True
45,1.3753409052221588,0.025987755635621505,0.0,0.0,True
46,1.375068945065244,0.026676676048641566,0.0,0.0,True
47,1.3793042871001973,0.031053184333141404,0.0,0.0,True
