seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0,0.496875,0.49375,0.5
0,1,0.496875,0.50625,0.4875
0,2,0.496875,0.525,0.46875
0,3,0.50625,0.56875,0.44375
0,4,0.484375,0.50625,0.4625
0,5,0.5,0.49375,0.50625
0,6,0.478125,0.45625,0.5
0,7,0.475,0.43125,0.51875
0,8,0.4625,0.4375,0.4875
0,9,0.453125,0.4375,0.46875
0,10,0.40625,0.38125,0.43125
0,11,0.4625,0.4375,0.4875
0,12,0.471875,0.46875,0.475
0,13,0.46875,0.4875,0.45
0,14,0.48125,0.49375,0.46875
0,15,0.45625,0.45625,0.45625
0,16,0.484375,0.46875,0.5
0,17,0.459375,0.4625,0.45625
0,18,0.45625,0.44375,0.46875
0,19,0.446875,0.43125,0.4625
0,20,0.453125,0.40625,0.5
0,21,0.471875,0.4625,0.48125
0,22,0.453125,0.45625,0.45
0,23,0.44375,0.45625,0.43125
0,24,0.4375,0.3875,0.4875
0,25,0.4625,0.45625,0.46875
0,26,0.475,0.4875,0.4625
0,27,0.478125,0.49375,0.4625
0,28,0.484375,0.51875,0.45
0,29,0.46875,0.46875,0.46875
0,30,0.471875,0.49375,0.45
0,31,0.465625,0.4625,0.46875
0,32,0.46875,0.4875,0.45
0,33,0.45,0.44375,0.45625
0,34,0.45625,0.45,0.4625
0,35,0.46875,0.48125,0.45625
0,36,0.478125,0.475,0.48125
0,37,0.478125,0.50625,0.45
0,38,0.459375,0.425,0.49375
0,39,0.4625,0.4375,0.4875
0,40,0.4625,0.4625,0.4625
0,41,0.471875,0.43125,0.5125
0,42,0.478125,0.44375,0.5125
0,43,0.4875,0.4375,0.5375
0,44,0.48125,0.425,0.5375
0,45,0.515625,0.4625,0.56875
0,46,0.475,0.4125,0.5375
0,47,0.490625,0.45,0.53125
1,0,0.5,0.53125,0.46875
1,1,0.50625,0.5375,0.475
1,2,0.54375,0.5375,0.55
1,3,0.540625,0.55,0.53125
1,4,0.54375,0.54375,0.54375
1,5,0.51875,0.5375,0.5
1,6,0.5,0.5125,0.4875
1,7,0.490625,0.525,0.45625
1,8,0.528125,0.51875,0.5375
1,9,0.521875,0.5375,0.50625
1,10,0.490625,0.525,0.45625
1,11,0.509375,0.5375,0.48125
1,12,0.5,0.5,0.5
1,13,0.490625,0.46875,0.5125
1,14,0.50625,0.525,0.4875
1,15,0.521875,0.51875,0.525
1,16,0.509375,0.5125,0.50625
1,17,0.475,0.50625,0.44375
1,18,0.484375,0.4875,0.48125
1,19,0.490625,0.43125,0.55
1,20,0.45625,0.41875,0.49375
1,21,0.515625,0.5,0.53125
1,22,0.51875,0.50625,0.53125
1,23,0.50625,0.45625,0.55625
1,24,0.496875,0.4625,0.53125
1,25,0.5125,0.50625,0.51875
1,26,0.528125,0.53125,0.525
1,27,0.521875,0.51875,0.525
1,28,0.503125,0.49375,0.5125
1,29,0.4875,0.48125,0.49375
1,30,0.496875,0.5,0.49375
1,31,0.503125,0.5,0.50625
1,32,0.475,0.44375,0.50625
1,33,0.478125,0.4625,0.49375
1,34,0.475,0.46875,0.48125
1,35,0.453125,0.45625,0.45
1,36,0.484375,0.475,0.49375
1,37,0.46875,0.4625,0.475
1,38,0.490625,0.475,0.50625
1,39,0.490625,0.475,0.50625
1,40,0.484375,0.5,0.46875
1,41,0.509375,0.53125,0.4875
1,42,0.528125,0.54375,0.5125
1,43,0.503125,0.51875,0.4875
1,44,0.496875,0.5,0.49375
1,45,0.515625,0.5375,0.49375
1,46,0.490625,0.50625,0.475
1,47,0.515625,0.53125,0.5
2,0,0.496875,0.45625,0.5375
2,1,0.49375,0.4125,0.575
2,2,0.5,0.54375,0.45625
2,3,0.496875,0.4625,0.53125
2,4,0.49375,0.49375,0.49375
2,5,0.515625,0.51875,0.5125
2,6,0.490625,0.475,0.50625
2,7,0.45625,0.4,0.5125
2,8,0.45,0.40625,0.49375
2,9,0.478125,0.4625,0.49375
2,10,0.48125,0.475,0.4875
2,11,0.525,0.525,0.525
2,12,0.54375,0.55625,0.53125
2,13,0.528125,0.53125,0.525
2,14,0.478125,0.4625,0.49375
2,15,0.49375,0.48125,0.50625
2,16,0.48125,0.50625,0.45625
2,17,0.49375,0.5,0.4875
2,18,0.46875,0.5125,0.425
2,19,0.4625,0.49375,0.43125
2,20,0.48125,0.49375,0.46875
2,21,0.478125,0.50625,0.45
2,22,0.503125,0.54375,0.4625
2,23,0.521875,0.5375,0.50625
2,24,0.503125,0.5625,0.44375
2,25,0.496875,0.5375,0.45625
2,26,0.46875,0.5,0.4375
2,27,0.459375,0.4875,0.43125
2,28,0.4875,0.53125,0.44375
2,29,0.465625,0.525,0.40625
2,30,0.48125,0.53125,0.43125
2,31,0.4875,0.5375,0.4375
2,32,0.475,0.5125,0.4375
2,33,0.44375,0.475,0.4125
2,34,0.5,0.54375,0.45625
2,35,0.496875,0.54375,0.45
2,36,0.4875,0.525,0.45
2,37,0.478125,0.5125,0.44375
2,38,0.4625,0.50625,0.41875
2,39,0.45625,0.4875,0.425
2,40,0.478125,0.5,0.45625
2,41,0.4625,0.5125,0.4125
2,42,0.49375,0.525,0.4625
2,43,0.453125,0.4625,0.44375
2,44,0.465625,0.5,0.43125
2,45,0.440625,0.46875,0.4125
2,46,0.490625,0.50625,0.475
2,47,0.46875,0.4875,0.45
3,0,0.490625,0.4625,0.51875
3,1,0.5,0.5,0.5
3,2,0.509375,0.48125,0.5375
3,3,0.490625,0.50625,0.475
3,4,0.521875,0.4875,0.55625
3,5,0.50625,0.4625,0.55
3,6,0.50625,0.49375,0.51875
3,7,0.5125,0.525,0.5
3,8,0.509375,0.475,0.54375
3,9,0.5375,0.55625,0.51875
3,10,0.4875,0.5125,0.4625
3,11,0.509375,0.4875,0.53125
3,12,0.515625,0.525,0.50625
3,13,0.51875,0.525,0.5125
3,14,0.5,0.5125,0.4875
3,15,0.521875,0.53125,0.5125
3,16,0.521875,0.49375,0.55
3,17,0.49375,0.4875,0.5
3,18,0.509375,0.5,0.51875
3,19,0.521875,0.5,0.54375
3,20,0.4875,0.475,0.5
3,21,0.503125,0.4875,0.51875
3,22,0.4625,0.4625,0.4625
3,23,0.515625,0.5125,0.51875
3,24,0.5125,0.5375,0.4875
3,25,0.49375,0.5125,0.475
3,26,0.509375,0.5125,0.50625
3,27,0.546875,0.53125,0.5625
3,28,0.5375,0.5125,0.5625
3,29,0.5125,0.525,0.5
3,30,0.515625,0.5,0.53125
