item_index,image_word,condition,rating,max_probability,top_one_token,p1,p2,p3,p4,p5,total_probability_mass
0,library,congruent,4.0,0.99609375,4,1.3387762010097504e-08,1.8533319234848022e-07,1.0073184967041016e-05,0.99609375,0.003173828125,1.0
0,refrigerator,congruent,3.921875,0.953125,4,0.00183868408203125,0.036865234375,0.0050048828125,0.953125,0.0023651123046875,1.0
0,library,incongruent,1.0,1.0,1,1.0,6.845220923423767e-08,2.9331204132176936e-11,1.4637180356658064e-12,1.1368683772161603e-12,1.0
0,refrigerator,incongruent,1.0,1.0,1,1.0,1.126900315284729e-07,2.9331204132176936e-11,1.2931877790833823e-12,2.4158453015843406e-12,1.0
1,delight,congruent,4.6875,0.6796875,5,1.2789769243681803e-12,5.059064278611913e-12,4.547473508864641e-10,0.3203125,0.6796875,1.0
1,disappointment,congruent,4.0,0.9921875,4,4.738569259643555e-06,0.001495361328125,0.004058837890625,0.9921875,0.00191497802734375,1.0
1,delight,incongruent,1.0,1.0,1,1.0,5.817413330078125e-05,9.255018085241318e-09,1.1059455573558807e-09,2.066371962428093e-09,1.0
1,disappointment,incongruent,1.2265625,0.77734375,1,0.77734375,0.22265625,5.817413330078125e-05,1.2993812561035156e-05,1.3709068298339844e-06,1.0
2,overcoat,congruent,4.15625,0.8515625,4,3.836930773104541e-12,2.8421709430404007e-11,2.8958311304450035e-09,0.8515625,0.1484375,1.0
2,sandals,congruent,4.75,0.73046875,5,1.3017142919125035e-11,9.640643838793039e-11,8.672941476106644e-09,0.26953125,0.73046875,1.0
2,overcoat,incongruent,1.0,1.0,1,1.0,6.139278411865234e-06,2.1736923372372985e-10,7.44648787076585e-12,7.44648787076585e-12,1.0
2,sandals,incongruent,1.0,1.0,1,1.0,1.3709068298339844e-06,9.049472282640636e-11,3.510081114654895e-12,5.7980287238024175e-12,1.0
3,exam,congruent,4.3125,0.6796875,4,6.139089236967266e-11,2.1464074961841106e-10,1.6996636986732483e-08,0.6796875,0.3203125,1.0
3,marathon,congruent,4.25,0.73046875,4,1.0913936421275139e-10,1.1714291758835316e-09,8.242204785346985e-08,0.73046875,0.26953125,1.0
3,exam,incongruent,1.875,0.87890625,2,0.119140625,0.87890625,0.0004863739013671875,0.0001087188720703125,3.2782554626464844e-06,1.0
3,marathon,incongruent,1.734375,0.73046875,2,0.26953125,0.73046875,2.014636993408203e-05,7.82310962677002e-07,8.242204785346985e-08,1.0
4,menu,congruent,4.0,0.99609375,4,2.7418136596679688e-05,0.00116729736328125,0.001922607421875,0.99609375,0.0003337860107421875,1.0
