participant_id,item_index,image_word,condition,rating
01778c22-41d4-4c96-9b8b-4af48a67dd78,0,library,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,1,delight,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,2,sandals,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,3,exam,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,4,menu,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,5,tranquility,congruent,2
01778c22-41d4-4c96-9b8b-4af48a67dd78,6,students,congruent,2
01778c22-41d4-4c96-9b8b-4af48a67dd78,7,consensus,incongruent,2
01778c22-41d4-4c96-9b8b-4af48a67dd78,8,engagement,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,9,classroom,congruent,5
01778c22-41d4-4c96-9b8b-4af48a67dd78,10,groceries,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,11,confident,congruent,2
01778c22-41d4-4c96-9b8b-4af48a67dd78,12,joy,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,13,traffic,congruent,3
01778c22-41d4-4c96-9b8b-4af48a67dd78,14,frustration,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,15,calculator,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,16,orchestra,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,17,retirement,congruent,3
01778c22-41d4-4c96-9b8b-4af48a67dd78,18,depressed,incongruent,3
01778c22-41d4-4c96-9b8b-4af48a67dd78,19,weight,congruent,3
01778c22-41d4-4c96-9b8b-4af48a67dd78,20,lipstick,congruent,2
01778c22-41d4-4c96-9b8b-4af48a67dd78,21,sang,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,22,skeptical,congruent,3
01778c22-41d4-4c96-9b8b-4af48a67dd78,23,graduation,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,24,bride,incongruent,2
01778c22-41d4-4c96-9b8b-4af48a67dd78,25,teacher,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,26,grandma,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,27,brother,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,28,preschool,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,29,hopeless,incongruent,2
01778c22-41d4-4c96-9b8b-4af48a67dd78,30,overjoyed,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,31,encouragement,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,32,cordially,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,33,accusatory,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,34,lovingly,congruent,3
01778c22-41d4-4c96-9b8b-4af48a67dd78,35,playful,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,36,mangoes,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,37,park,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,38,backyard,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,39,excitedly,incongruent,3
01778c22-41d4-4c96-9b8b-4af48a67dd78,40,sock,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,41,naked,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,42,shy,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,43,flattered,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,44,cellmate,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,45,promoted,congruent,3
01778c22-41d4-4c96-9b8b-4af48a67dd78,46,celebration,incongruent,2
01778c22-41d4-4c96-9b8b-4af48a67dd78,47,crayon,congruent,2
01778c22-41d4-4c96-9b8b-4af48a67dd78,48,waiter,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,49,parents,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,50,sofa,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,51,homework,incongruent,1
01778c22-41d4-4c96-9b8b-4af48a67dd78,52,quiz,congruent,4
01778c22-41d4-4c96-9b8b-4af48a67dd78,53,excitement,congruent,3
01778c22-41d4-4c96-9b8b-4af48a67dd78,54,niece,incongruent,3
01778c22-41d4-4c96-9b8b-4af48a67dd78,55,film,congruent,2
